gene	Chimp.Mean.Expression	Chimp.Overdispersion	Chimp.theta.se	Chimp.Mean.Log2RPKM	Human.Mean.Expression	Human.Overdispersion	Human.theta.se	Human.Mean.Log2RPKM	Chimp.Residual	Human.Residual
ENSG00000115306	-16.6700453141064	0.0460607946250013	5.56781133597651	5.71662747868095	-16.534186650151	0.0355767009359378	6.41802315841685	5.87337028992376	-0.547549631630688	-0.804542244669134
ENSG00000115310	-17.0597642665855	0.287347662684433	0.859767189662243	4.97109321558315	-18.0236239970335	0.463514597197498	0.462731903619746	3.39215781643016	1.26174673800469	1.77615559969994
ENSG00000162994	-20.8555779686106	0.0568596549935218	5.18311117637366	-0.303751198774008	-20.7373910669224	0.179337945740992	1.32903192403637	-0.276568539603171	-1.49133077607469	0.00551289604162042
ENSG00000085760	-18.0620213837922	0.0330681378783635	8.04087099272491	3.71822402704443	-17.7345648472978	0.0474233208429808	4.90045551586265	4.13390622203743	-0.976293140467464	-0.500925557457643
ENSG00000115355	-19.7376855735963	0.0572084436648906	4.52905609632905	1.28522461707186	-19.8038855708946	0.0601435280329807	3.85709530565961	1.14000270932955	-0.979095173842127	-0.663258237236998
ENSG00000163001	-17.8120310593174	0.0238709313697612	10.9711552517467	4.08654521283738	-18.5458694428398	0.0640814784346393	3.62458931807205	2.95249887162423	-1.26547697142614	-0.244346766867264
ENSG00000275052	-18.639808072908	0.041388322694156	6.27295280180904	2.87991688870632	-19.0224633727448	0.0296998947700152	7.96627347404231	2.28903099250375	-0.877323900060445	-1.10036205944035
ENSG00000138035	-18.4513479664698	0.071295799046933	3.72729172872046	3.13231799938134	-18.4472021903447	0.0501646997043846	4.92328701480923	3.1058640396045	-0.280431864858228	-0.477737115264029
ENSG00000115380	-20.2880921876139	0.492319910170737	0.501797329257527	0.212422440456905	-19.6713585790698	0.446027482107203	0.493141768796631	1.05626003773393	0.92172297868198	1.39824116624066
ENSG00000055813	-19.5061966343369	0.376433182252286	0.659561426907269	1.38890081677577	-19.789685947605	0.20788329333816	1.11720794097937	1.06966980354439	1.01071555925024	0.58329255362121
ENSG00000028116	-18.693659596422	0.0773397449141379	3.38199769232355	2.77612073967898	-19.113177798001	0.0552424569634958	4.4026836135076	2.14125130564151	-0.268141077499646	-0.502638179538514
ENSG00000115392	-18.2788674988284	0.0696537390311815	3.74592398647804	3.38310924035954	-19.0675017295302	0.041180020869687	6.12924706847528	2.2231398586149	-0.266868976823549	-0.784468658311175
ENSG00000119866	-20.0935244774906	0.0933786375452573	2.78949290872521	0.746980533743771	-20.0659925522687	0.0673498862599199	3.51978742380191	0.759599925859662	-0.653257087565602	-0.664670261210798
ENSG00000115421	-19.9967724943854	0.103705041923032	2.49880934893272	0.880699535421451	-20.1606259958954	0.0274585470043998	9.28238641334182	0.651153431058806	-0.504372434556239	-1.60373708912592
ENSG00000162924	-20.8681090203373	0.301053485301928	0.834313079901046	-0.508881835669613	-21.1160319457959	0.127220868253806	1.95519451077237	-0.783970594702442	0.169806035775703	-0.506254596249412
ENSG00000162927	-20.2369607641641	0.0418960300591972	6.73913462800811	0.585949718490484	-20.6450473843954	0.0511969308525103	5.23450794971057	-0.0550800833821156	-1.51931494871024	-1.20520955514687
ENSG00000162928	-18.7166233189666	0.0330147337625173	7.97714107536086	2.77442036836478	-18.9515495651088	0.0610888269893857	3.80479443926088	2.36891758916936	-1.12637015789262	-0.363894388524202
ENSG00000162929	-20.1271982309802	0.0663673099042049	4.0015547459296	0.722597414286983	-20.3187084037238	0.0740455843032534	3.24995863267884	0.392161393372462	-1.00993609704971	-0.683778843475697
ENSG00000237651	-17.9137266729011	0.057134793890071	4.56920737134583	3.91825392516821	-17.7748547886489	0.11431612661467	2.00030811563153	4.02909939464431	-0.404326246859191	0.379843561105818
ENSG00000115464	-19.2164237145842	0.0824503822344695	3.11549651349549	2.0166651792132	-19.1387835197463	0.114386509548066	1.98252922642027	2.05813938441028	-0.387601404826558	0.218174973398581
ENSG00000082898	-18.1275626513487	0.160722526379264	1.56772115474067	3.52892807308616	-18.1956031899908	0.142096773890622	1.58188383093241	3.39776431389852	0.594283977693726	0.582247457477261
