P	gene
0.3334	ENSG00000066084
0.0001	ENSG00000161813
0.2402	ENSG00000050405
0.6729	ENSG00000139624
0.3922	ENSG00000178449
0.0417	ENSG00000167588
0.1584	ENSG00000066117
0.355	ENSG00000110881
0.0456	ENSG00000161800
0.8934	ENSG00000135472
0.7154	ENSG00000258057
0.14	ENSG00000167566
0.7626	ENSG00000139644
0.4017	ENSG00000161791
0.0079	ENSG00000110844
0.8683	ENSG00000187778
0.9606	ENSG00000123352
0.8817	ENSG00000178401
0.0311	ENSG00000135451
0.2044	ENSG00000167553
0.8012	ENSG00000167552
0.9059	ENSG00000123416
0.439	ENSG00000139636
0.0668	ENSG00000167550
0.0006	ENSG00000167548
0.0134	ENSG00000181929
0.0952	ENSG00000181418
0.8342	ENSG00000134287
0.1921	ENSG00000172602
0.9659	ENSG00000174243
0.0362	ENSG00000167535
0.1137	ENSG00000174233
0.7583	ENSG00000129315
0.0242	ENSG00000139620
0.0393	ENSG00000167528
0.1941	ENSG00000177875
0.0013	ENSG00000177981
0.7775	ENSG00000152556
0.6487	ENSG00000079387
0.0027	ENSG00000139219
0.0037	ENSG00000134291
0.2545	ENSG00000111424
0.0219	ENSG00000061273
0.5367	ENSG00000276691
0.5843	ENSG00000211584
0.0534	ENSG00000079337
0.0459	ENSG00000257433
0.8174	ENSG00000005175
0.0643	ENSG00000179715
0.152	ENSG00000247774
0.0324	ENSG00000139211
0.0987	ENSG00000134294
0.0285	ENSG00000111371
0.2986	ENSG00000139218
0.027	ENSG00000189079
0.2379	ENSG00000273015
0.1596	ENSG00000177119
0.0001	ENSG00000134297
0.3725	ENSG00000184613
0.002	ENSG00000139173
0.181	ENSG00000198001
0.2735	ENSG00000129317
0.0496	ENSG00000139174
0.4555	ENSG00000134283
0.0162	ENSG00000139168
0.0406	ENSG00000015153
0.8415	ENSG00000151233
0.3245	ENSG00000165966
0.5891	ENSG00000018236
0.8163	ENSG00000188906
0.2791	ENSG00000151229
0.2108	ENSG00000173208
0.387	ENSG00000139116
0.3407	ENSG00000139117
0.3855	ENSG00000057294
0.5983	ENSG00000274976
0.9069	ENSG00000139131
0.4026	ENSG00000087470
0.0353	ENSG00000139132
0.7839	ENSG00000151746
0.3802	ENSG00000174718
0.099	ENSG00000151743
0.2693	ENSG00000139160
0.4187	ENSG00000170456
0.2544	ENSG00000110900
0.8169	ENSG00000110888
0.0723	ENSG00000133704
0.0251	ENSG00000133687
0.0215	ENSG00000087502
0.9642	ENSG00000064763
0.0001	ENSG00000257176
0.3222	ENSG00000275476
0.228	ENSG00000123106
0.0556	ENSG00000247934
0.0089	ENSG00000087448
0.0825	ENSG00000061794
0.0354	ENSG00000174236
0.432	ENSG00000110841
0.2966	ENSG00000029153
0.8222	ENSG00000211455
0.0001	ENSG00000152944
0.9879	ENSG00000275764
0.1392	ENSG00000064115
0.054	ENSG00000247903
0.4627	ENSG00000111790
0.1776	ENSG00000064102
0.3543	ENSG00000123104
0.8478	ENSG00000123096
0.4234	ENSG00000123095
0.7168	ENSG00000246695
0.2982	ENSG00000133703
0.6811	ENSG00000205707
0.0979	ENSG00000118308
0.2572	ENSG00000060982
0.9329	ENSG00000134532
0.8202	ENSG00000139163
0.708	ENSG00000111731
0.0716	ENSG00000111728
0.5014	ENSG00000111726
0.2173	ENSG00000069431
0.4062	ENSG00000121361
0.4073	ENSG00000111716
0.4292	ENSG00000134548
0.0477	ENSG00000111711
0.2173	ENSG00000004700
0.619	ENSG00000121350
0.7294	ENSG00000111537
0.2414	ENSG00000111554
0.362	ENSG00000251301
0.056	ENSG00000127314
0.5271	ENSG00000111581
0.1081	ENSG00000175782
0.2699	ENSG00000135679
0.7899	ENSG00000135678
0.5952	ENSG00000111605
0.0081	ENSG00000090382
0.6884	ENSG00000127337
0.9585	ENSG00000166225
0.5545	ENSG00000166226
0.3605	ENSG00000198812
0.1708	ENSG00000127325
0.2562	ENSG00000127328
0.5948	ENSG00000111596
0.1871	ENSG00000135643
0.0006	ENSG00000258168
0.0358	ENSG00000127329
0.3264	ENSG00000277247
0.5216	ENSG00000153233
0.4481	ENSG00000127324
0.255	ENSG00000133858
0.9841	ENSG00000173451
0.0797	ENSG00000139291
0.5392	ENSG00000080371
0.8414	ENSG00000121749
0.4446	ENSG00000236333
0.2612	ENSG00000253719
0.0765	ENSG00000180881
0.6528	ENSG00000139278
0.037	ENSG00000111615
0.0782	ENSG00000139289
0.2267	ENSG00000187109
0.476	ENSG00000179941
0.007	ENSG00000091039
0.2844	ENSG00000186908
0.0018	ENSG00000175183
0.8288	ENSG00000067798
0.2436	ENSG00000067715
0.0946	ENSG00000177425
0.253	ENSG00000058272
0.0474	ENSG00000165899
0.1414	ENSG00000111052
0.0027	ENSG00000111058
0.8676	ENSG00000133773
0.0831	ENSG00000127720
0.4054	ENSG00000179104
0.2232	ENSG00000198774
0.3158	ENSG00000258128
0.0627	ENSG00000133641
0.3903	ENSG00000198707
0.0489	ENSG00000049130
0.7645	ENSG00000139318
0.9144	ENSG00000139323
0.2071	ENSG00000270344
0.8475	ENSG00000070961
0.4547	ENSG00000271614
0.5371	ENSG00000139329
0.1132	ENSG00000011465
0.445	ENSG00000133639
0.0006	ENSG00000102189
0.3412	ENSG00000173598
0.1131	ENSG00000177889
0.1064	ENSG00000198015
0.0098	ENSG00000246985
0.1647	ENSG00000120833
0.3305	ENSG00000169372
0.4901	ENSG00000136040
0.8577	ENSG00000173588
0.5195	ENSG00000057704
0.3377	ENSG00000184752
0.3958	ENSG00000120798
0.4994	ENSG00000180263
0.0535	ENSG00000028203
0.4154	ENSG00000111142
0.0337	ENSG00000136014
0.5133	ENSG00000074527
0.6392	ENSG00000139343
0.855	ENSG00000111144
0.0905	ENSG00000111145
0.7956	ENSG00000059758
0.7272	ENSG00000139350
0.4438	ENSG00000120802
0.0091	ENSG00000075415
0.4396	ENSG00000120868
0.2965	ENSG00000111647
0.1352	ENSG00000280088
0.9462	ENSG00000238105
0.0003	ENSG00000075089
0.7741	ENSG00000136021
0.0593	ENSG00000139354
0.7056	ENSG00000120800
0.2076	ENSG00000120805
0.0001	ENSG00000196091
0.7964	ENSG00000111666
0.0032	ENSG00000111670
0.9302	ENSG00000136048
0.0003	ENSG00000120860
0.0212	ENSG00000075188
0.9784	ENSG00000017427
0.1064	ENSG00000166598
0.6809	ENSG00000204954
0.654	ENSG00000139372
0.1086	ENSG00000120820
0.3346	ENSG00000111727
0.2006	ENSG00000120837
0.0702	ENSG00000198431
0.2267	ENSG00000255150
0.0739	ENSG00000171310
0.504	ENSG00000151131
0.2309	ENSG00000136010
0.0138	ENSG00000136051
0.626	ENSG00000136044
0.3697	ENSG00000235162
0.0081	ENSG00000074590
0.7775	ENSG00000136026
0.2666	ENSG00000166046
0.0035	ENSG00000013503
0.9342	ENSG00000111785
0.1749	ENSG00000260329
0.0637	ENSG00000151135
0.5159	ENSG00000120832
0.9216	ENSG00000008405
0.4527	ENSG00000151136
0.3277	ENSG00000136045
0.1819	ENSG00000110851
0.1035	ENSG00000075035
0.7889	ENSG00000174600
0.6473	ENSG00000198855
0.275	ENSG00000075856
0.6857	ENSG00000136003
0.1156	ENSG00000183160
0.5907	ENSG00000110880
0.1801	ENSG00000084112
0.0001	ENSG00000166111
0.3671	ENSG00000076555
0.0326	ENSG00000110906
0.0588	ENSG00000151148
0.4978	ENSG00000139428
0.0059	ENSG00000110921
0.1786	ENSG00000139438
0.6352	ENSG00000139437
0.0007	ENSG00000139436
0.7457	ENSG00000076513
0.2678	ENSG00000174456
0.0035	ENSG00000122970
0.7147	ENSG00000174437
0.1937	ENSG00000196510
0.9908	ENSG00000111229
0.8936	ENSG00000111231
0.6049	ENSG00000204856
0.0148	ENSG00000111237
0.3545	ENSG00000278993
0.0005	ENSG00000151164
0.6889	ENSG00000196850
0.8104	ENSG00000204852
0.4001	ENSG00000122986
0.3637	ENSG00000186298
0.0518	ENSG00000173093
0.059	ENSG00000111245
0.7391	ENSG00000185847
0.5244	ENSG00000198324
0.2358	ENSG00000111252
0.0001	ENSG00000204842
0.6234	ENSG00000089234
0.496	ENSG00000111271
0.1397	ENSG00000111275
0.0018	ENSG00000234608
0.4316	ENSG00000089022
0.4127	ENSG00000198270
0.3845	ENSG00000089248
0.9595	ENSG00000111300
0.586	ENSG00000135148
0.0003	ENSG00000173064
0.686	ENSG00000089009
0.0004	ENSG00000179295
0.0237	ENSG00000089127
0.1307	ENSG00000111331
0.1139	ENSG00000111335
0.4249	ENSG00000135144
0.0043	ENSG00000123064
0.1795	ENSG00000139405
0.639	ENSG00000186815
0.7347	ENSG00000089060
0.3111	ENSG00000151176
0.0064	ENSG00000139410
0.0045	ENSG00000122965
0.6846	ENSG00000089225
0.0508	ENSG00000255399
0.666	ENSG00000135111
0.5651	ENSG00000123066
0.0382	ENSG00000111412
0.269	ENSG00000135116
0.0379	ENSG00000174989
0.4081	ENSG00000088992
0.6213	ENSG00000135108
0.328	ENSG00000089250
0.1321	ENSG00000111445
0.3545	ENSG00000176871
0.2668	ENSG00000176834
0.001	ENSG00000089220
0.4076	ENSG00000135090
0.0042	ENSG00000111707
0.1338	ENSG00000139767
0.2909	ENSG00000152137
0.3104	ENSG00000256609
0.0232	ENSG00000224982
0.4581	ENSG00000111725
0.2865	ENSG00000122966
0.9935	ENSG00000135127
0.1746	ENSG00000111737
0.5924	ENSG00000277283
0.1368	ENSG00000089154
0.4624	ENSG00000089163
0.0097	ENSG00000170890
0.3529	ENSG00000135097
0.023	ENSG00000111775
0.0003	ENSG00000170855
0.4939	ENSG00000257218
0.6948	ENSG00000111786
0.2981	ENSG00000088986
0.3284	ENSG00000248008
0.0198	ENSG00000110871
0.3118	ENSG00000022840
0.1814	ENSG00000167272
0.0036	ENSG00000157782
0.77	ENSG00000110917
0.0816	ENSG00000175970
0.5349	ENSG00000122971
0.6998	ENSG00000157837
0.7476	ENSG00000157895
0.6857	ENSG00000135114
0.1731	ENSG00000089041
0.6844	ENSG00000135124
0.1827	ENSG00000110931
0.1381	ENSG00000089053
0.001	ENSG00000170633
0.9856	ENSG00000089094
0.0427	ENSG00000276045
0.0104	ENSG00000188735
0.9746	ENSG00000139725
0.2098	ENSG00000212694
0.4446	ENSG00000139718
0.0412	ENSG00000158104
0.0614	ENSG00000110801
0.0232	ENSG00000110987
0.5349	ENSG00000175727
0.0007	ENSG00000184047
0.0503	ENSG00000139719
0.5156	ENSG00000130779
0.6317	ENSG00000256304
0.2289	ENSG00000033030
0.086	ENSG00000111011
0.0002	ENSG00000184445
0.495	ENSG00000139726
0.2378	ENSG00000130787
0.1392	ENSG00000139722
0.4693	ENSG00000150967
0.2328	ENSG00000111325
0.1023	ENSG00000182196
0.7868	ENSG00000090975
0.0116	ENSG00000051825
0.4497	ENSG00000280120
0.0926	ENSG00000130921
0.0123	ENSG00000111328
0.5927	ENSG00000139697
0.9051	ENSG00000150977
0.0006	ENSG00000184209
0.9562	ENSG00000188026
0.556	ENSG00000247373
0.0028	ENSG00000086598
0.0199	ENSG00000111364
0.0003	ENSG00000111361
0.2734	ENSG00000111358
0.0751	ENSG00000168778
0.2938	ENSG00000185344
0.3757	ENSG00000119242
0.233	ENSG00000250091
0.2002	ENSG00000179195
0.8454	ENSG00000196498
0.1647	ENSG00000073060
0.3895	ENSG00000150990
0.6768	ENSG00000184992
0.1721	ENSG00000081760
0.0262	ENSG00000139364
0.2115	ENSG00000181234
0.0125	ENSG00000139370
0.0292	ENSG00000151948
0.2472	ENSG00000111450
0.3509	ENSG00000132341
0.0048	ENSG00000111452
0.0014	ENSG00000279940
0.5223	ENSG00000061936
0.1763	ENSG00000177169
0.5984	ENSG00000177192
0.0587	ENSG00000183495
0.9802	ENSG00000185684
0.5773	ENSG00000185163
0.8826	ENSG00000184967
0.1425	ENSG00000256943
0.2246	ENSG00000256542
0.4496	ENSG00000112787
0.084	ENSG00000177084
0.833	ENSG00000176894
0.0003	ENSG00000247077
0.0354	ENSG00000176915
0.3196	ENSG00000090615
0.2447	ENSG00000072609
0.3846	ENSG00000196458
0.2359	ENSG00000198040
0.1517	ENSG00000196387
0.0563	ENSG00000214029
0.7952	ENSG00000256223
NA	ENSG00000166130
0.114	ENSG00000196199
0.6233	ENSG00000121390
0.6258	ENSG00000132950
0.9123	ENSG00000121741
0.0024	ENSG00000121743
0.0492	ENSG00000165474
0.0851	ENSG00000165475
0.3519	ENSG00000032742
0.53	ENSG00000172458
0.8094	ENSG00000150456
0.2642	ENSG00000132953
0.8249	ENSG00000150457
0.9419	ENSG00000150459
0.0099	ENSG00000173141
0.0082	ENSG00000180776
0.0365	ENSG00000165487
0.2661	ENSG00000276476
0.1745	ENSG00000102683
0.9229	ENSG00000151835
0.074	ENSG00000127863
0.0126	ENSG00000027001
0.0084	ENSG00000182957
0.2106	ENSG00000102699
0.0143	ENSG00000151849
0.0052	ENSG00000139505
0.2299	ENSG00000139496
0.1503	ENSG00000132932
0.5262	ENSG00000180730
0.9865	ENSG00000127870
0.0649	ENSG00000132964
0.043	ENSG00000132970
0.0002	ENSG00000132975
0.004	ENSG00000122026
0.0428	ENSG00000122035
0.0644	ENSG00000122034
0.8669	ENSG00000122033
0.5279	ENSG00000139517
0.0041	ENSG00000186184
0.1298	ENSG00000180389
0.2509	ENSG00000152520
0.034	ENSG00000102755
0.4193	ENSG00000132963
0.1796	ENSG00000139508
0.8613	ENSG00000132938
0.0062	ENSG00000139514
0.0018	ENSG00000122042
0.047	ENSG00000102781
0.1645	ENSG00000189403
0.1661	ENSG00000213411
0.124	ENSG00000232489
0.2368	ENSG00000132952
0.2105	ENSG00000132965
0.6252	ENSG00000102802
0.0858	ENSG00000120694
0.3333	ENSG00000187676
0.0455	ENSG00000229715
0.3507	ENSG00000279314
0.222	ENSG00000073910
0.1286	ENSG00000139597
0.8171	ENSG00000244754
0.7817	ENSG00000281026
0.1655	ENSG00000083642
0.0361	ENSG00000133116
0.4719	ENSG00000133121
0.0041	ENSG00000133119
0.1827	ENSG00000172915
0.7479	ENSG00000133083
0.2521	ENSG00000133104
0.9331	ENSG00000180440
0.4698	ENSG00000133111
0.0215	ENSG00000120693
0.1709	ENSG00000120697
0.9114	ENSG00000120699
0.2496	ENSG00000102710
0.0221	ENSG00000133110
0.0281	ENSG00000274317
0.7638	ENSG00000120686
0.0001	ENSG00000120685
0.0068	ENSG00000188811
0.2818	ENSG00000183722
0.8016	ENSG00000133103
0.1996	ENSG00000150907
0.7647	ENSG00000102738
0.181	ENSG00000120690
0.6287	ENSG00000120688
0.7572	ENSG00000165572
0.0748	ENSG00000120696
0.5482	ENSG00000120662
0.2791	ENSG00000172766
0.1488	ENSG00000102760
0.216	ENSG00000102763
0.4713	ENSG00000102780
0.3507	ENSG00000023516
0.0879	ENSG00000133106
0.0488	ENSG00000238025
0.0005	ENSG00000120675
0.2259	ENSG00000120658
0.0066	ENSG00000179630
0.2849	ENSG00000233725
0.4727	ENSG00000151778
0.9912	ENSG00000102804
0.7025	ENSG00000133114
0.0025	ENSG00000188342
0.2968	ENSG00000133112
0.5035	ENSG00000174032
0.1076	ENSG00000136152
0.5447	ENSG00000123200
0.128	ENSG00000136167
0.3594	ENSG00000102445
0.208	ENSG00000136141
0.1758	ENSG00000139684
0.429	ENSG00000136143
0.0544	ENSG00000136146
0.001	ENSG00000136156
0.8461	ENSG00000139687
0.562	ENSG00000139679
0.8527	ENSG00000136161
0.4258	ENSG00000152207
0.2002	ENSG00000275202
0.1497	ENSG00000102531
0.2498	ENSG00000102543
0.9108	ENSG00000102547
0.3911	ENSG00000136169
0.4968	ENSG00000136147
0.0999	ENSG00000136144
0.2567	ENSG00000152213
0.636	ENSG00000123179
0.2921	ENSG00000102753
0.1115	ENSG00000123178
0.5038	ENSG00000204977
0.4013	ENSG00000176124
0.1453	ENSG00000274270
0.1636	ENSG00000136104
0.4963	ENSG00000150510
0.4474	ENSG00000102786
0.8678	ENSG00000236778
0.0411	ENSG00000139668
0.0001	ENSG00000102796
0.4496	ENSG00000231856
0.0175	ENSG00000281106
0.1543	ENSG00000123191
0.0001	ENSG00000253710
0.0196	ENSG00000253797
0.3144	ENSG00000136098
0.5371	ENSG00000243406
0.125	ENSG00000136108
0.1414	ENSG00000136100
0.4	ENSG00000136114
0.176	ENSG00000165416
0.2974	ENSG00000102837
0.4123	ENSG00000118946
0.0583	ENSG00000139734
0.0198	ENSG00000083544
0.4134	ENSG00000184226
0.4991	ENSG00000276644
0.0511	ENSG00000204899
0.4074	ENSG00000083520
0.0776	ENSG00000083535
0.7171	ENSG00000102554
0.6809	ENSG00000118922
0.396	ENSG00000136111
0.0001	ENSG00000188243
0.5422	ENSG00000118939
0.0001	ENSG00000261553
0.3807	ENSG00000136153
0.0823	ENSG00000102805
0.6052	ENSG00000005812
0.2896	ENSG00000005810
0.363	ENSG00000139737
0.9277	ENSG00000136160
0.1233	ENSG00000152193
0.1414	ENSG00000139746
0.0087	ENSG00000102471
0.5794	ENSG00000136158
0.051	ENSG00000184564
0.3938	ENSG00000165300
0.7583	ENSG00000183098
0.618	ENSG00000080166
0.5386	ENSG00000088451
0.1694	ENSG00000152749
0.7737	ENSG00000125257
0.0185	ENSG00000134873
0.4545	ENSG00000134874
0.103	ENSG00000247400
0.2587	ENSG00000102580
0.3037	ENSG00000102595
0.6164	ENSG00000185352
0.2556	ENSG00000139793
0.8204	ENSG00000125249
0.622	ENSG00000065150
0.037	ENSG00000152767
0.835	ENSG00000102572
0.3225	ENSG00000088387
0.0001	ENSG00000134882
0.3207	ENSG00000169508
0.4112	ENSG00000280734
0.0028	ENSG00000125304
0.0002	ENSG00000125246
0.611	ENSG00000274605
0.5668	ENSG00000175198
0.3417	ENSG00000125247
0.0092	ENSG00000102452
0.1511	ENSG00000198542
0.1268	ENSG00000102466
0.2578	ENSG00000272143
0.7005	ENSG00000134900
0.0003	ENSG00000151287
0.4871	ENSG00000134901
0.698	ENSG00000134897
0.35	ENSG00000134899
0.9502	ENSG00000250878
0.6516	ENSG00000125266
0.0815	ENSG00000134884
0.0287	ENSG00000174405
0.0073	ENSG00000139826
0.1081	ENSG00000102524
0.0463	ENSG00000041515
0.029	ENSG00000185950
0.6413	ENSG00000187498
0.3235	ENSG00000134871
0.1396	ENSG00000213995
0.532	ENSG00000134905
0.5094	ENSG00000153487
0.1536	ENSG00000255874
0.0306	ENSG00000088448
0.6588	ENSG00000229152
0.1585	ENSG00000102606
0.1453	ENSG00000068650
0.2354	ENSG00000126217
0.0426	ENSG00000269376
0.4408	ENSG00000185896
0.1096	ENSG00000153531
0.2191	ENSG00000150401
0.2366	ENSG00000150403
0.1773	ENSG00000276248
0.7338	ENSG00000184497
0.1409	ENSG00000183087
0.0029	ENSG00000233695
0.5363	ENSG00000272695
0.0036	ENSG00000185989
0.0744	ENSG00000130177
0.0001	ENSG00000169062
0.6612	ENSG00000198824
0.1194	ENSG00000136319
0.0001	ENSG00000100814
0.0252	ENSG00000129484
0.0154	ENSG00000129566
0.6552	ENSG00000132819
0.6274	ENSG00000092094
0.0736	ENSG00000100823
0.5469	ENSG00000165782
0.0702	ENSG00000198805
0.2662	ENSG00000214274
0.6696	ENSG00000169413
0.7478	ENSG00000129538
0.8166	ENSG00000165792
0.8166	ENSG00000165795
0.4099	ENSG00000165801
0.2496	ENSG00000165804
0.0003	ENSG00000092199
0.9537	ENSG00000092201
0.0008	ENSG00000100888
0.2767	ENSG00000092203
0.081	ENSG00000165819
0.7924	ENSG00000165821
0.0556	ENSG00000277734
0.0401	ENSG00000129562
0.0509	ENSG00000100439
0.0022	ENSG00000155463
0.1651	ENSG00000155465
0.0006	ENSG00000172590
0.1745	ENSG00000157227
0.4471	ENSG00000197324
0.0225	ENSG00000100461
0.5221	ENSG00000100462
0.0127	ENSG00000092036
0.3453	ENSG00000129474
0.4428	ENSG00000100802
0.0362	ENSG00000100804
0.0139	ENSG00000139880
0.127	ENSG00000100813
0.0005	ENSG00000179933
0.6451	ENSG00000092068
0.9472	ENSG00000215271
0.023	ENSG00000235194
0.178	ENSG00000129473
0.7467	ENSG00000100836
0.0007	ENSG00000092096
0.0502	ENSG00000100842
0.389	ENSG00000166091
0.2725	ENSG00000197616
0.3072	ENSG00000092054
0.1891	ENSG00000258444
0.2698	ENSG00000129460
0.4985	ENSG00000136367
0.1848	ENSG00000259431
0.0306	ENSG00000258727
0.1511	ENSG00000213983
0.646	ENSG00000274002
0.3569	ENSG00000129535
0.1837	ENSG00000100889
0.0555	ENSG00000100897
0.9293	ENSG00000139914
0.1469	ENSG00000092010
0.2666	ENSG00000100908
0.0036	ENSG00000100911
0.209	ENSG00000092098
0.0041	ENSG00000213928
0.1563	ENSG00000100918
0.0204	ENSG00000196497
0.4128	ENSG00000100926
0.0235	ENSG00000278784
0.2982	ENSG00000254505
0.7747	ENSG00000129559
0.7334	ENSG00000092330
0.7115	ENSG00000092295
0.2041	ENSG00000100949
0.1307	ENSG00000157379
0.646	ENSG00000196943
0.0449	ENSG00000213903
0.0112	ENSG00000129467
0.6459	ENSG00000129465
0.0972	ENSG00000100968
0.1116	ENSG00000205978
0.5367	ENSG00000139899
0.9278	ENSG00000100441
0.4912	ENSG00000100445
0.6425	ENSG00000092009
0.2269	ENSG00000100448
0.0319	ENSG00000100450
0.2008	ENSG00000100453
0.0055	ENSG00000168952
0.9944	ENSG00000139910
0.0339	ENSG00000184304
0.5926	ENSG00000092108
0.8316	ENSG00000196792
0.6379	ENSG00000100478
0.2092	ENSG00000092148
0.6439	ENSG00000129493
0.4551	ENSG00000129480
0.6353	ENSG00000151413
0.0356	ENSG00000258655
0.0012	ENSG00000100852
0.7266	ENSG00000151320
0.6048	ENSG00000129521
0.0081	ENSG00000165389
0.7544	ENSG00000129518
0.0117	ENSG00000129515
0.9271	ENSG00000165410
0.1319	ENSG00000198604
0.2959	ENSG00000100883
0.1155	ENSG00000151327
0.0585	ENSG00000092020
0.1786	ENSG00000100890
0.0019	ENSG00000100902
0.1212	ENSG00000100906
0.03	ENSG00000174373
0.0231	ENSG00000100916
0.0026	ENSG00000151332
0.0067	ENSG00000183032
0.1838	ENSG00000258708
0.0034	ENSG00000151338
0.5578	ENSG00000176435
0.3976	ENSG00000100934
0.0396	ENSG00000092208
0.4085	ENSG00000182400
0.5658	ENSG00000100941
0.0007	ENSG00000150527
0.0577	ENSG00000165355
0.6941	ENSG00000179476
0.8769	ENSG00000179454
0.6574	ENSG00000198718
0.2039	ENSG00000185246
0.0386	ENSG00000100442
0.0403	ENSG00000187790
0.8477	ENSG00000129534
0.6316	ENSG00000259129
0.0021	ENSG00000213741
0.3732	ENSG00000165501
0.0724	ENSG00000165502
0.7476	ENSG00000165506
0.9099	ENSG00000197776
0.0413	ENSG00000165516
0.0046	ENSG00000165525
0.0434	ENSG00000274012
0.5749	ENSG00000165527
0.1124	ENSG00000100485
0.2064	ENSG00000087299
0.2023	ENSG00000125375
0.6542	ENSG00000012983
0.954	ENSG00000151748
0.9273	ENSG00000100503
0.4163	ENSG00000100504
0.7137	ENSG00000100505
0.0746	ENSG00000139921
0.7613	ENSG00000139926
0.0175	ENSG00000186469
0.0241	ENSG00000087302
0.2496	ENSG00000087303
0.0124	ENSG00000168229
0.0159	ENSG00000087301
0.3149	ENSG00000180998
0.4858	ENSG00000197930
0.0269	ENSG00000100519
0.0046	ENSG00000198252
0.8257	ENSG00000100522
0.6991	ENSG00000073712
0.0841	ENSG00000100523
0.0001	ENSG00000100526
0.346	ENSG00000100528
0.2748	ENSG00000197045
0.0414	ENSG00000100532
0.2906	ENSG00000020577
0.0125	ENSG00000131979
0.1163	ENSG00000198554
0.9235	ENSG00000180008
0.2576	ENSG00000168175
0.3946	ENSG00000131981
0.033	ENSG00000126787
0.3658	ENSG00000178974
0.2657	ENSG00000258469
0.7245	ENSG00000126775
0.0561	ENSG00000186615
0.0328	ENSG00000126777
0.8876	ENSG00000139946
0.2157	ENSG00000070269
0.6503	ENSG00000070367
0.0413	ENSG00000053770
0.0014	ENSG00000139977
0.7916	ENSG00000259969
0.0609	ENSG00000139971
0.8975	ENSG00000131966
0.1415	ENSG00000100567
0.0472	ENSG00000257621
0.6392	ENSG00000032219
0.0021	ENSG00000100575
0.692	ENSG00000100578
0.2792	ENSG00000165617
0.2939	ENSG00000100592
0.9196	ENSG00000181619
0.8872	ENSG00000126790
0.6654	ENSG00000050130
0.3867	ENSG00000139970
0.5784	ENSG00000126773
0.9743	ENSG00000100612
0.1908	ENSG00000100614
0.7051	ENSG00000100625
0.0001	ENSG00000020426
0.5551	ENSG00000126814
0.1019	ENSG00000139974
0.4342	ENSG00000027075
0.3316	ENSG00000182107
0.8694	ENSG00000100644
0.0063	ENSG00000023608
0.9634	ENSG00000126785
0.3693	ENSG00000154001
0.6626	ENSG00000140006
0.0113	ENSG00000126821
0.9465	ENSG00000054654
0.0525	ENSG00000140009
0.2034	ENSG00000100714
0.2933	ENSG00000258824
0.5327	ENSG00000272909
0.2296	ENSG00000089775
0.0604	ENSG00000126804
0.0996	ENSG00000126803
0.2684	ENSG00000126822
0.743	ENSG00000070182
0.0099	ENSG00000258289
0.0312	ENSG00000139998
0.7826	ENSG00000257365
0.9639	ENSG00000125952
0.698	ENSG00000033170
0.3983	ENSG00000171723
0.6254	ENSG00000072415
0.3755	ENSG00000100554
0.9891	ENSG00000134001
0.2617	ENSG00000198133
0.0156	ENSG00000054690
0.1593	ENSG00000100564
0.0009	ENSG00000081181
0.701	ENSG00000100568
0.2693	ENSG00000072042
0.0161	ENSG00000072121
0.1798	ENSG00000185650
0.1737	ENSG00000072110
0.0122	ENSG00000139990
0.5895	ENSG00000081177
0.6478	ENSG00000100626
0.0132	ENSG00000100632
0.785	ENSG00000029364
0.1282	ENSG00000100647
0.7227	ENSG00000100650
0.8239	ENSG00000198732
0.2085	ENSG00000133983
0.1362	ENSG00000213463
0.3143	ENSG00000133997
0.8555	ENSG00000133985
0.0305	ENSG00000006432
0.0001	ENSG00000274818
0.0089	ENSG00000100731
0.6363	ENSG00000197555
0.3534	ENSG00000182732
0.0937	ENSG00000205683
0.121	ENSG00000119599
0.433	ENSG00000165861
0.2798	ENSG00000119707
0.1369	ENSG00000080815
0.4284	ENSG00000100767
0.2787	ENSG00000258376
0.021	ENSG00000133961
0.0052	ENSG00000170468
0.3345	ENSG00000205669
0.13	ENSG00000119661
0.3873	ENSG00000176903
0.4191	ENSG00000156030
0.0001	ENSG00000259065
0.095	ENSG00000140043
0.4402	ENSG00000119725
0.6479	ENSG00000119723
0.3995	ENSG00000187097
0.9479	ENSG00000119636
0.6093	ENSG00000119711
0.0017	ENSG00000119688
0.052	ENSG00000133980
0.3049	ENSG00000183379
0.9765	ENSG00000119655
0.3048	ENSG00000165898
0.055	ENSG00000119681
0.5795	ENSG00000119682
0.1128	ENSG00000119616
0.0001	ENSG00000119596
0.318	ENSG00000119689
0.942	ENSG00000198208
0.7869	ENSG00000119630
0.9485	ENSG00000119718
0.454	ENSG00000119684
0.1026	ENSG00000119640
0.5279	ENSG00000119703
0.9509	ENSG00000119638
0.0706	ENSG00000170348
0.2872	ENSG00000170345
0.0993	ENSG00000259319
0.5148	ENSG00000140044
0.6355	ENSG00000119686
0.0001	ENSG00000119685
0.0015	ENSG00000133935
0.3912	ENSG00000119650
0.9385	ENSG00000119699
0.9794	ENSG00000089916
0.2072	ENSG00000119715
0.07	ENSG00000071246
0.5714	ENSG00000013523
0.2223	ENSG00000198894
0.1283	ENSG00000165548
0.9102	ENSG00000009830
0.0285	ENSG00000100577
0.2415	ENSG00000100580
0.0286	ENSG00000151445
0.5061	ENSG00000100591
0.0046	ENSG00000100596
0.8807	ENSG00000100601
0.9586	ENSG00000119705
0.773	ENSG00000100603
0.0596	ENSG00000063761
