gene	Chimp.Mean.Expression	Chimp.Overdispersion	Chimp.theta.se	Chimp.Mean.Log2RPKM	Human.Mean.Expression	Human.Overdispersion	Human.theta.se	Human.Mean.Log2RPKM	Chimp.Residual	Human.Residual	Chimp.Dispersion	Human.Dispersion
ENSG00000186891	-20.0447462609216	2.10553086128725	0.0895290519355523	-0.897382290641107	-22.7250665476836	0.614754858219179	0.481019926999412	-3.47137449946498	2.31217988762639	0.0805422279923379	0.353072261838135	-1.99155629023037
ENSG00000186827	-18.7791665181172	0.62031520238128	0.335766949377454	2.33906435457583	-19.3320767837356	0.858243721373499	0.237966262640513	1.26865430817933	1.64057809963761	1.95294496943427	-0.318529526150646	-0.119153548788446
ENSG00000078808	-17.2570135430693	0.0583114649307704	3.8712922370601	4.98342178559042	-17.1236289888226	0.0420739147468285	5.38306128451863	5.12622421024785	-0.538657549293802	-0.818355926800048	-2.49776517508205	-2.89045444502276
ENSG00000176022	-18.5410818988641	0.0921186409072936	2.45934336587595	3.10567436555855	-18.7193275372817	0.0543682106210303	4.31818533526758	2.81436943798945	-0.200651429545032	-0.656593876718021	-2.15975905533328	-2.72869239494073
ENSG00000184163	-20.2299183421128	0.943116894193199	0.215532652684651	-0.0360045082078004	-20.9688358734574	0.370594987332849	0.636782608827152	-0.676108123147051	1.40857032194252	0.310966322929934	-0.550537303845735	-1.76113219529278
ENSG00000160087	-18.9637689040113	0.0832273894400293	2.74914105496555	2.50378778746254	-18.9195565076525	0.0533650266189177	4.41865049210399	2.52693701054149	-0.42562151044803	-0.71541684806183	-2.38472913623628	-2.78751536628454
ENSG00000162572	-22.9283573829913	0.912739046956653	0.243281273845944	-3.87544469106741	-19.8316605897293	0.324157324123315	0.67587312637879	1.00235230328618	-0.0456081964111595	0.780756758069417	-2.00471582219941	-1.29134176015329
ENSG00000131584	-17.9857451708552	0.324685598873159	0.663927054200647	3.72789398658089	-17.8141512328484	0.141618905429724	1.56740679050333	4.05605729300796	1.14916354443476	0.386698729471311	-0.809944081353488	-1.6853997887514
ENSG00000169972	-19.1186179753331	0.0840763479015302	2.8430333359059	2.27657231086867	-18.8965911255603	0.163042465712704	1.4087858188393	2.47833219584785	-0.470133842254776	0.406349443194683	-2.42924146804303	-1.66574907502803
ENSG00000127054	-17.3086237159364	0.100516908525443	2.22308096402655	4.8778531467996	-17.545077006992	0.084106793058494	2.67204839231527	4.48750436091168	0.00228747893531933	-0.137016638551854	-1.95682014685293	-2.20911515677457
ENSG00000240731	-19.1941186697848	0.575684273236082	0.374692410914952	1.78200978641356	-18.2835653173482	0.368513142206879	0.604799740981921	3.19354596179677	1.42475423885372	1.31491274256882	-0.534353386934534	-0.757185775653891
ENSG00000224051	-16.5751020212256	0.0908127392049119	2.46465224943836	5.9429341379889	-16.5468966477127	0.108785648988385	2.05115309732978	5.90898971683411	-0.0741484418374885	0.131412229087506	-2.03325606762574	-1.94068628913521
ENSG00000169962	-19.8285168367674	0.300396246890028	0.727869226327376	1.08883221772553	-20.7101250095867	0.29708444128899	0.762750468821159	-0.243803323321653	0.48218189668281	0.230111075487709	-1.47692572910544	-1.841987442735
ENSG00000107404	-16.7544548102579	0.080105696261783	2.79556100548231	5.69237509361947	-16.8126648708552	0.0738767080052433	3.03945337528667	5.55157864256265	-0.200827612979891	-0.252785800102489	-2.15993523876814	-2.3248843183252
ENSG00000162576	-17.6954480749077	0.534227552356019	0.392306950076207	3.97469588875684	-17.7522124402308	0.422003816568023	0.504335678364558	3.92455109903517	1.66189462909092	1.47793077712848	-0.297212996697335	-0.594167741094228
ENSG00000175756	-15.8182858107249	0.065986361270798	3.403327071267	7.05330671992333	-16.1159788601004	0.0935731596505242	2.39044796257604	6.54210934901074	-0.418603579842026	-0.0326716338134463	-2.37771120563028	-2.10477015203616
ENSG00000221978	-17.7936299714607	0.641770657327682	0.322278118917716	3.74106718026871	-17.4627640327606	0.361725683579357	0.592665175116979	4.39104346963092	1.84343706245331	1.32289197270812	-0.11567056333494	-0.749206545514596
ENSG00000242485	-17.151773731461	0.0357744249790475	6.3670164023012	5.15185606798206	-17.0718283290294	0.0285844158141396	8.02623108052039	5.21115030547065	-1.02081306476049	-1.20403024035794	-2.97992069054874	-3.27612875858065
ENSG00000235098	-21.9935418930512	0.374234645172224	0.650431864467337	-2.09353248836241	-20.5096232690758	0.299707499442259	0.77616766087736	0.0372202887836201	-0.500005812006599	0.352440706272726	-2.45911343779485	-1.71965781194999
