gene	Chimp.Mean.Expression	Chimp.Overdispersion	Chimp.theta.se	Chimp.Mean.Log2RPKM	Human.Mean.Expression	Human.Overdispersion	Human.theta.se	Human.Mean.Log2RPKM	Chimp.Residual	Human.Residual
ENSG00000159267	-12.0667686331059	0.105535960728425	2.5859915569311	0.298790670224069	-12.347968833563	0.142829199994133	1.70842546486691	-0.174234066932385	-0.688327001695699	-0.177226187711232
ENSG00000185808	-11.1377365675759	0.100089448356021	2.62968537411613	3.25246751115383	-11.14148315232	0.0917252137071172	2.54411517920659	3.18708775385412	-0.338067518185058	-0.138891529176549
ENSG00000182670	-9.82898123537602	0.136106956863832	1.86480822931527	2.08616852644735	-9.49794229115643	0.0963689141016019	2.35993879426349	2.54389785668383	0.452113638500642	0.25365554036268
ENSG00000157540	-8.58664382210484	0.0235825110820175	11.0007979982765	4.09563154031025	-9.01138758411096	0.0288497794858041	8.02194121750142	3.43386098155849	-1.17730246756474	-0.95923332651336
ENSG00000157554	-10.3692307124294	0.193788369291755	1.29954153934552	1.80508040378905	-10.3518649976031	0.0838642003394644	2.75088094668637	1.86997407580531	0.645663091925248	0.011922825312876
ENSG00000157557	-8.50090690245315	0.582679002541051	0.407452770444168	4.93237125457859	-9.25150963165743	0.118459741189621	1.90622586250492	4.17649708629173	2.03487243523621	0.45422674013199
ENSG00000183527	-10.3798982025741	0.0539062957475715	4.85114522218577	3.52900062574575	-11.1011399078515	0.0867955805567274	2.6866629912375	2.41941166935244	-0.637733824810552	-0.179341037479209
ENSG00000185658	-10.8120727192329	0.0426120223603025	6.24523944615769	1.09267451385445	-10.4456691441999	0.04584524339587	5.14884486415019	1.56900223457475	-1.04678021426711	-0.613250443149865
ENSG00000182093	-9.92415922879738	0.0464448632335088	5.58699504112225	3.30417340130966	-10.5565660476007	0.0643817369883539	3.61973713552249	2.33702803449755	-0.6427933097313	-0.300963754317114
ENSG00000157578	-14.7307317002143	0.212052625355118	1.61197230208566	-3.64639408924463	-13.495370768945	0.200437494629905	1.31110597319648	-2.07684767965082	-0.807158207728363	-0.24222220440396
ENSG00000185437	-9.06252080770652	0.077255453423647	3.31431281571714	6.12058115864275	-8.79884638329594	0.276508537421753	0.795124627159278	6.30499799327826	-0.0320665206416741	1.30457085941263
ENSG00000182240	-11.5712287271803	0.201145721062118	1.26359135709328	1.69869932260991	-11.5800546932039	0.176791203948371	1.29155279905862	1.65267135068252	0.158743136873178	0.335656550915588
ENSG00000183486	-10.603089274963	0.564922672802068	0.421957002441326	0.54969370486281	-10.9927397737871	0.265289110263387	0.839125958349959	0.184116754020306	1.62540875503858	0.976169376299833
ENSG00000141956	-12.1025261734844	0.151737646204026	1.7328184738655	-0.695587910822493	-11.4733364245903	0.147778953555765	1.56743194379644	0.159092411885923	-0.337497878601576	0.202437457169354
ENSG00000157617	-10.7492014907265	0.439860083001186	0.551424986161818	0.888510874973713	-10.711769830019	0.128658054235005	1.77697823672234	1.13714245200264	1.31445845340416	0.347450158893322
ENSG00000173276	-11.0153639606321	0.399150161316599	0.611715841844957	0.665826025623804	-11.307373076916	0.238894974337564	0.936966587670149	0.325206460333249	1.10066989993782	0.752935855826097
ENSG00000160179	-10.4020638737526	0.198109590414343	1.26951388794085	2.2435383620389	-10.6399079936986	0.155557495747214	1.45439727878988	1.89068115983289	0.65571287164704	0.558730712009615
ENSG00000160190	-11.3302402418808	0.212649351606784	1.19045060714367	0.75601896613923	-11.531791826383	0.0818661024086505	2.93993785354563	0.517810427485282	0.326945398321745	-0.413403053693948
ENSG00000160191	-11.5251963771903	0.22918414480453	1.10405526950036	1.48508077494796	-11.987558310553	0.0937943961105013	2.59950564637259	0.876228530436969	0.310858935051901	-0.464279514518748
ENSG00000160193	-12.3598676425375	0.321650202939578	0.781778916509691	0.61560116823852	-12.020541881466	0.128221964307185	1.86721856544601	1.17583792768627	0.327447269127457	-0.164136593819242
ENSG00000160194	-9.52274336158301	0.0425569494764251	6.11364460526514	5.13837191827085	-9.36386894468069	0.0465452808031292	4.94694085367529	5.31633336396267	-0.651579061527503	-0.476070835739745
ENSG00000160199	-10.9677207504825	0.120028153296298	2.1468378425406	1.02981024434576	-11.223075580279	0.0589180006042086	4.08377761647238	0.659537617320561	-0.0795758959082598	-0.612895309559386
ENSG00000160208	-10.7659716386154	0.121654257843255	2.11116907574266	1.68978872690884	-10.5603295038703	0.0339675968694425	7.05956338501729	2.00309945986784	0.0220481671616204	-0.941355343233242
ENSG00000160209	-8.94705130800964	0.0729392598477725	3.51179584883889	3.70514772521406	-9.04584368654819	0.051755735744155	4.43143019154552	3.5330018588175	-0.078945952612945	-0.375767386342491
ENSG00000160214	-10.864099553561	0.11187409782729	2.30154704166046	1.99786566390666	-10.8188013861122	0.0529971612660617	4.4678594435387	2.05654192620088	-0.104139757450179	-0.574106797439659
ENSG00000160216	-8.79541806827848	0.0283140496007694	9.14556607157287	3.62513582612719	-8.77952879741702	0.0456418080943092	5.02218792102524	3.59051496027135	-1.01033012442951	-0.49670520116134
ENSG00000160218	-10.9755318155237	0.05479344076687	4.87985293333669	1.74200487110304	-10.7338070930308	0.0971373579563807	2.38721262486917	2.01983248572431	-0.867221988833459	0.0595233260866692
ENSG00000141959	-9.42558737855342	0.108811375777327	2.34071244402057	3.72324257437521	-9.09723842944095	0.0686677657054211	3.32275739722783	4.17707015559633	0.297329951617665	-0.0938865999802783
ENSG00000160226	-10.5610539963155	0.1170461634318	2.18435074199309	3.6282372133699	-10.7338182432661	0.0803069303675505	2.89844830753412	3.35934704725167	0.0682310148010346	-0.130750312183053
ENSG00000142185	-12.1507895601511	0.592880334797147	0.404305447215322	-0.754929865207048	-12.5127664074428	0.242423108871643	0.959455209415561	-1.04105066418971	1.00899076680587	0.290872932662181
ENSG00000160233	-16.6822961718918	0.707809219286719	0.69907142934664	-0.689480695247014	-17.0013079544796	0.912597729679108	0.679641405977808	-0.912046036323941	0.0389282824890039	0.710421452283635
ENSG00000175894	-12.2433562012101	0.770698865632078	0.305025268773087	-0.445934104825201	-12.289468307938	1.44243128138362	0.137271294056975	-1.1287062329667	1.2403275154258	2.15664477448861
ENSG00000184787	-8.52169237043326	0.0143554169171826	18.1364809023272	4.64302639164494	-8.74801399593613	0.0318352686744975	7.24129912073578	4.25868273728885	-1.66978274473338	-0.856790623389359
