Gene.stable.ID	cardiac muscle cell	endocardial cell	endothelial cell	erythrocyte	fibroblast	leukocyte	myofibroblast cell	professional antigen presenting cell	smooth muscle cell
ENSG00000176046	0.102783514086617	23.7783561527451	27.1509110241956	1.84519855871193	2948.76169711642	712.525969869761	2.55843636530786	3.09543017588102	0.0582547136485822
ENSG00000167693	2.13551199209307	1118.90456027256	599.130906091301	0.00168497564076421	699.454503960399	2.16810526209557	124.593842966674	4.51609952708917	38.2363879990906
ENSG00000182379	0.00780069783679923	0.000421243910191053	0.000421243910191053	0.000421243910191053	19.1577241283898	0.000421243910191053	43.4388480775056	0.000421243910191053	0.0838080760372246
ENSG00000205978	0.0749814160140074	27.099975680044	46.4126146743726	0.568045033079957	115.664070510991	45.7228549412	1.13202956667005	2.07733513246956	10.0345282435211
ENSG00000111331	0.000421243910191053	0.0103193444498503	1.84519855871193	0.0082068961225686	1.0578318289539	14.4594740489792	0.000421243910191053	37.7367602482104	0.000421243910191053
ENSG00000180304	2283.40901912659	202.092595720594	15047.8835677307	0.997397191859644	632.200597857996	1048.02964310817	525.314228463439	1.63737507891262	279.249379979481
ENSG00000154358	37.7523004752323	19.3731595235529	281.472706290201	4.82522345185321	51.1054423659564	138.14054007402	0.328877813490744	0.826532650564058	1.61975839658514
ENSG00000106809	212.278171918675	0.177528138148787	2.86319485756859	14.8261864511224	22837.8680001987	663.410724836075	28.1221970350179	56.3392572150388	0.962578474236264
ENSG00000183801	16.5806192173955	0.00970623527642577	3.0702202033775	0.000421243910191053	2960.57092151377	0.424613861472581	17.8136186479309	0.138994651465421	0.142327191202633
ENSG00000162745	9.54943462494117	0.613752377148364	22.3909723867696	0.0796060482274654	119675.245822746	12.348465652741	1176.13706677632	1.41057930765709	6.92734599641633
ENSG00000116774	2.86368045647282	38.5251376865997	126.308719152557	0.140630868515746	826.702547335516	456.61171047068	100.53542842523	101.037455716129	0.265133419131028
ENSG00000180785	0.169872336343975	0.00236047256430811	14.1407045949468	0.0299390596166237	0.250218882653485	0.000421243910191053	283.076198577626	1.27757476954217	362.002106510617
ENSG00000127083	0.000421243910191053	0.0256958785216542	6.36010741203127	0.0103193444498503	14360.0308515552	2.88889821470226	15.988469289771	0.251116010798528	0.000421243910191053
ENSG00000115942	10.0057873810179	32.7730321307221	2627.10522346888	0.0082068961225686	1556.67798812185	8.94070730567344	8.11027547542773	84.8999548198684	3.13668916271866
ENSG00000070882	14.2287000117607	39.2166955820403	199.094465295206	0.553202550988997	183.989863041515	7.37386501262133	17.1121748878391	17.3793789002967	1.01878588578212
ENSG00000099985	0.000421243910191053	0.000421243910191053	2.6048053263894	0.0293379787793866	0.0889746910294891	17.2697365861026	0.000421243910191053	133.911823444961	0.000421243910191053
ENSG00000145623	12.8778500460069	3965.70402427848	776.152090295828	2.32672453100634	113.728798617157	0.888587967495804	257.590695458704	0.3693939402406	0.934740236713946
ENSG00000143867	5.59404732027919	0.134376807350946	26.2088094654028	0.0697079476878061	104740.070588059	9.77920042265639	0.296496207722429	0.227903532382942	0.00429970121842517
ENSG00000165312	7.66928867310208	481.164533862198	19.3898044644498	0.440626148394764	933.432622821544	43.9450693768619	2.40361775155015	15.8388753313964	39.1870012804213
ENSG00000169860	11.7395684839461	0.426139085787516	2.42954473417199	0.127310514115436	120.802801414307	0.122592649119566	23.1338091392667	0.162769230295571	0.000421243910191053
ENSG00000181631	2.12901045329682	0.19506254921963	6.34488475417242	0.00506373959330841	0.702422016700567	1141.86444775871	0.184907592075395	0.388808129106342	0.0308019103184128
