Gene stable ID	Transcript stable ID	Gene name	Source of gene name
ENSPTRG00000019041	ENSPTRT00000094073	GGCT	VGNC Symbol
ENSPTRG00000019041	ENSPTRT00000105621	GGCT	VGNC Symbol
ENSPTRG00000045473	ENSPTRT00000084887		
ENSPTRG00000001597	ENSPTRT00000002909	OLFML2B	VGNC Symbol
ENSPTRG00000013670	ENSPTRT00000079831		
ENSPTRG00000013670	ENSPTRT00000025477		
ENSPTRG00000042426	ENSPTRT00000074603	FAM169B	VGNC Symbol
ENSPTRG00000048829	ENSPTRT00000097211		
ENSPTRG00000050001	ENSPTRT00000110541		
ENSPTRG00000051759	ENSPTRT00000080425		
ENSPTRG00000019465	ENSPTRT00000036038	AZGP1	VGNC Symbol
ENSPTRG00000021663	ENSPTRT00000040174	FRMPD4	VGNC Symbol
ENSPTRG00000021663	ENSPTRT00000094227	FRMPD4	VGNC Symbol
ENSPTRG00000021663	ENSPTRT00000103841	FRMPD4	VGNC Symbol
ENSPTRG00000021663	ENSPTRT00000093816	FRMPD4	VGNC Symbol
ENSPTRG00000021663	ENSPTRT00000089849	FRMPD4	VGNC Symbol
ENSPTRG00000021663	ENSPTRT00000100219	FRMPD4	VGNC Symbol
ENSPTRG00000040156	ENSPTRT00000102734		
ENSPTRG00000040156	ENSPTRT00000074381		
ENSPTRG00000005753	ENSPTRT00000010584	KATNAL1	VGNC Symbol
ENSPTRG00000005753	ENSPTRT00000089074	KATNAL1	VGNC Symbol
ENSPTRG00000044832	ENSPTRT00000081344		
ENSPTRG00000044832	ENSPTRT00000085673		
ENSPTRG00000044832	ENSPTRT00000076684		
ENSPTRG00000015285	ENSPTRT00000028554	ILDR1	VGNC Symbol
ENSPTRG00000015285	ENSPTRT00000095185	ILDR1	VGNC Symbol
ENSPTRG00000015285	ENSPTRT00000108683	ILDR1	VGNC Symbol
ENSPTRG00000015285	ENSPTRT00000100405	ILDR1	VGNC Symbol
ENSPTRG00000047145	ENSPTRT00000081768		
ENSPTRG00000047145	ENSPTRT00000082825		
ENSPTRG00000014872	ENSPTRT00000027810	SCAP	VGNC Symbol
ENSPTRG00000014872	ENSPTRT00000106629	SCAP	VGNC Symbol
ENSPTRG00000014872	ENSPTRT00000087968	SCAP	VGNC Symbol
ENSPTRG00000014872	ENSPTRT00000079977	SCAP	VGNC Symbol
ENSPTRG00000014872	ENSPTRT00000092202	SCAP	VGNC Symbol
ENSPTRG00000010495	ENSPTRT00000019339	TSPAN16	VGNC Symbol
ENSPTRG00000010495	ENSPTRT00000098728	TSPAN16	VGNC Symbol
ENSPTRG00000010495	ENSPTRT00000089631	TSPAN16	VGNC Symbol
ENSPTRG00000010495	ENSPTRT00000104201	TSPAN16	VGNC Symbol
ENSPTRG00000030987	ENSPTRT00000100185	TMEM256	VGNC Symbol
ENSPTRG00000030987	ENSPTRT00000016003	TMEM256	VGNC Symbol
ENSPTRG00000004112	ENSPTRT00000007671	ALG8	VGNC Symbol
ENSPTRG00000004112	ENSPTRT00000088053	ALG8	VGNC Symbol
ENSPTRG00000004112	ENSPTRT00000100502	ALG8	VGNC Symbol
ENSPTRG00000004112	ENSPTRT00000107690	ALG8	VGNC Symbol
ENSPTRG00000004112	ENSPTRT00000081321	ALG8	VGNC Symbol
ENSPTRG00000004112	ENSPTRT00000088457	ALG8	VGNC Symbol
ENSPTRG00000022526	ENSPTRT00000006185	HBE1	VGNC Symbol
