Gene stable ID	Transcript stable ID	Gene name	Source of gene name
ENSPTRG00000042638	ENSPTRT00000076395		
ENSPTRG00000042646	ENSPTRT00000076407		
ENSPTRG00000042654	ENSPTRT00000076381		
ENSPTRG00000042645	ENSPTRT00000076409		
ENSPTRG00000042644	ENSPTRT00000076406		
ENSPTRG00000042641	ENSPTRT00000076390	MT-ND1	VGNC Symbol
ENSPTRG00000042627	ENSPTRT00000076386		
ENSPTRG00000042647	ENSPTRT00000076380		
ENSPTRG00000042652	ENSPTRT00000076392		
ENSPTRG00000042626	ENSPTRT00000076387	MT-ND2	VGNC Symbol
ENSPTRG00000042656	ENSPTRT00000076405		
ENSPTRG00000042642	ENSPTRT00000076396	MT-TA	HGNC Symbol
ENSPTRG00000042648	ENSPTRT00000076384		
ENSPTRG00000042629	ENSPTRT00000076376		
ENSPTRG00000042655	ENSPTRT00000076389		
ENSPTRG00000042657	ENSPTRT00000076402	MT-CO1	VGNC Symbol
ENSPTRG00000042634	ENSPTRT00000076388		
ENSPTRG00000042636	ENSPTRT00000076378		
ENSPTRG00000042660	ENSPTRT00000076397	MT-CO2	VGNC Symbol
ENSPTRG00000042633	ENSPTRT00000076375		
ENSPTRG00000042653	ENSPTRT00000076398	MT-ATP8	VGNC Symbol
ENSPTRG00000042650	ENSPTRT00000076410	MT-ATP6	VGNC Symbol
ENSPTRG00000042661	ENSPTRT00000076385	MT-CO3	VGNC Symbol
ENSPTRG00000042643	ENSPTRT00000076377		
ENSPTRG00000042628	ENSPTRT00000076404	MT-ND3	VGNC Symbol
ENSPTRG00000042659	ENSPTRT00000076394		
ENSPTRG00000042631	ENSPTRT00000076391	MT-ND4L	VGNC Symbol
ENSPTRG00000042639	ENSPTRT00000076403	MT-ND4	VGNC Symbol
ENSPTRG00000042635	ENSPTRT00000076393		
ENSPTRG00000042649	ENSPTRT00000076401		
ENSPTRG00000042632	ENSPTRT00000076400		
ENSPTRG00000042651	ENSPTRT00000076382	MT-ND5	VGNC Symbol
ENSPTRG00000042630	ENSPTRT00000076408	MT-ND6	VGNC Symbol
ENSPTRG00000042625	ENSPTRT00000076379	MT-TE	HGNC Symbol
ENSPTRG00000042637	ENSPTRT00000076383	MT-CYB	VGNC Symbol
ENSPTRG00000042658	ENSPTRT00000076374		
ENSPTRG00000042640	ENSPTRT00000076399		
ENSPTRG00000047976	ENSPTRT00000080733		
ENSPTRG00000013652	ENSPTRT00000025441	FAM209A	VGNC Symbol
ENSPTRG00000020443	ENSPTRT00000037821	SDC2	VGNC Symbol
ENSPTRG00000020443	ENSPTRT00000088015	SDC2	VGNC Symbol
ENSPTRG00000020443	ENSPTRT00000101862	SDC2	VGNC Symbol
ENSPTRG00000044534	ENSPTRT00000082960		
ENSPTRG00000045991	ENSPTRT00000104719	C8H8orf89	VGNC Symbol
ENSPTRG00000045991	ENSPTRT00000099794	C8H8orf89	VGNC Symbol
ENSPTRG00000004551	ENSPTRT00000008423	FGF23	VGNC Symbol
ENSPTRG00000050844	ENSPTRT00000091615		
ENSPTRG00000049297	ENSPTRT00000099264		
ENSPTRG00000002780	ENSPTRT00000005249	CYP2C9	VGNC Symbol
ENSPTRG00000006251	ENSPTRT00000011465	SPTSSA	VGNC Symbol
ENSPTRG00000017084	ENSPTRT00000048019	ARSK	VGNC Symbol
ENSPTRG00000017084	ENSPTRT00000076864	ARSK	VGNC Symbol
ENSPTRG00000043514	ENSPTRT00000079296		
ENSPTRG00000023303	ENSPTRT00000036014	ZNF789	VGNC Symbol
ENSPTRG00000023303	ENSPTRT00000098658	ZNF789	VGNC Symbol
ENSPTRG00000023303	ENSPTRT00000096091	ZNF789	VGNC Symbol
ENSPTRG00000023303	ENSPTRT00000078030	ZNF789	VGNC Symbol
ENSPTRG00000017391	ENSPTRT00000032176	ADRB2	VGNC Symbol
ENSPTRG00000047027	ENSPTRT00000106139		
ENSPTRG00000042775	ENSPTRT00000100787		
ENSPTRG00000008173	ENSPTRT00000015071	MMP15	VGNC Symbol
ENSPTRG00000040239	ENSPTRT00000074696		
ENSPTRG00000040239	ENSPTRT00000098204		
ENSPTRG00000049109	ENSPTRT00000090819		
ENSPTRG00000012937	ENSPTRT00000023969	CFAP65	VGNC Symbol
ENSPTRG00000012937	ENSPTRT00000094517	CFAP65	VGNC Symbol
ENSPTRG00000012937	ENSPTRT00000110518	CFAP65	VGNC Symbol
ENSPTRG00000046839	ENSPTRT00000104560		
ENSPTRG00000048397	ENSPTRT00000083900		
ENSPTRG00000040083	ENSPTRT00000073882		
ENSPTRG00000010515	ENSPTRT00000019375	ZNF700	VGNC Symbol
ENSPTRG00000019020	ENSPTRT00000035162	HOXA11	VGNC Symbol
ENSPTRG00000052463	ENSPTRT00000076710		
ENSPTRG00000002298	ENSPTRT00000107196	OPTN	VGNC Symbol
ENSPTRG00000002298	ENSPTRT00000090691	OPTN	VGNC Symbol
ENSPTRG00000002298	ENSPTRT00000046629	OPTN	VGNC Symbol
ENSPTRG00000002298	ENSPTRT00000099457	OPTN	VGNC Symbol
ENSPTRG00000002298	ENSPTRT00000104465	OPTN	VGNC Symbol
ENSPTRG00000002298	ENSPTRT00000095758	OPTN	VGNC Symbol
ENSPTRG00000035209	ENSPTRT00000068805		
ENSPTRG00000007985	ENSPTRT00000108041	TBX6	VGNC Symbol
ENSPTRG00000007985	ENSPTRT00000014736	TBX6	VGNC Symbol
ENSPTRG00000009828	ENSPTRT00000082258	METTL4	VGNC Symbol
ENSPTRG00000009828	ENSPTRT00000018059	METTL4	VGNC Symbol
ENSPTRG00000009989	ENSPTRT00000046427	EPG5	VGNC Symbol
ENSPTRG00000009989	ENSPTRT00000105913	EPG5	VGNC Symbol
ENSPTRG00000052620	ENSPTRT00000098376		
ENSPTRG00000026914	ENSPTRT00000053584	RF00001	RFAM
ENSPTRG00000042737	ENSPTRT00000097132		
ENSPTRG00000042737	ENSPTRT00000095962		
ENSPTRG00000002374	ENSPTRT00000099585	PDSS1	VGNC Symbol
ENSPTRG00000002374	ENSPTRT00000004356	PDSS1	VGNC Symbol
ENSPTRG00000052035	ENSPTRT00000078661	RF02206	RFAM
ENSPTRG00000008604	ENSPTRT00000015876	ZMYND15	VGNC Symbol
ENSPTRG00000008604	ENSPTRT00000098240	ZMYND15	VGNC Symbol
ENSPTRG00000048304	ENSPTRT00000076466		
ENSPTRG00000035679	ENSPTRT00000069281	RF00100	RFAM
ENSPTRG00000013170	ENSPTRT00000044840		
ENSPTRG00000037971	ENSPTRT00000071573	RF00066	RFAM
ENSPTRG00000045998	ENSPTRT00000082041		
ENSPTRG00000044249	ENSPTRT00000088051	RF00619	RFAM
ENSPTRG00000045856	ENSPTRT00000080158		
ENSPTRG00000010264	ENSPTRT00000094298	FZR1	VGNC Symbol
ENSPTRG00000010264	ENSPTRT00000086748	FZR1	VGNC Symbol
ENSPTRG00000010264	ENSPTRT00000018847	FZR1	VGNC Symbol
ENSPTRG00000027894	ENSPTRT00000054564	ptr-mir-601	miRBase
ENSPTRG00000045184	ENSPTRT00000085809		
ENSPTRG00000045184	ENSPTRT00000104535		
ENSPTRG00000018709	ENSPTRT00000056751	PLEKHG1	VGNC Symbol
ENSPTRG00000018709	ENSPTRT00000089106	PLEKHG1	VGNC Symbol
ENSPTRG00000040303	ENSPTRT00000072679	RF00017	RFAM
ENSPTRG00000013942	ENSPTRT00000026005	TMPRSS3	VGNC Symbol
ENSPTRG00000008744	ENSPTRT00000101951	NDEL1	VGNC Symbol
ENSPTRG00000008744	ENSPTRT00000016097	NDEL1	VGNC Symbol
ENSPTRG00000008744	ENSPTRT00000098686	NDEL1	VGNC Symbol
ENSPTRG00000008744	ENSPTRT00000097420	NDEL1	VGNC Symbol
ENSPTRG00000008744	ENSPTRT00000082070	NDEL1	VGNC Symbol
ENSPTRG00000000799	ENSPTRT00000001509	HOOK1	VGNC Symbol
ENSPTRG00000000799	ENSPTRT00000110535	HOOK1	VGNC Symbol
ENSPTRG00000000799	ENSPTRT00000100439	HOOK1	VGNC Symbol
ENSPTRG00000005568	ENSPTRT00000010220	HPD	VGNC Symbol
ENSPTRG00000005568	ENSPTRT00000099603	HPD	VGNC Symbol
ENSPTRG00000008871	ENSPTRT00000098033	SLC47A1	VGNC Symbol
ENSPTRG00000008871	ENSPTRT00000064792	SLC47A1	VGNC Symbol
ENSPTRG00000008871	ENSPTRT00000084224	SLC47A1	VGNC Symbol
ENSPTRG00000008871	ENSPTRT00000109541	SLC47A1	VGNC Symbol
ENSPTRG00000008871	ENSPTRT00000082957	SLC47A1	VGNC Symbol
ENSPTRG00000052875	ENSPTRT00000085189		
ENSPTRG00000045085	ENSPTRT00000099522		
ENSPTRG00000052256	ENSPTRT00000095076	RF02042	RFAM
ENSPTRG00000045014	ENSPTRT00000105840	RF00017	RFAM
ENSPTRG00000037983	ENSPTRT00000071585	RF00066	RFAM
ENSPTRG00000045906	ENSPTRT00000079898	RF00001	RFAM
ENSPTRG00000034800	ENSPTRT00000068396	RF00619	RFAM
ENSPTRG00000025245	ENSPTRT00000051915	RF00100	RFAM
ENSPTRG00000043178	ENSPTRT00000106234	MIR4276	HGNC Symbol
ENSPTRG00000020607	ENSPTRT00000108561	ZFAT	VGNC Symbol
ENSPTRG00000020607	ENSPTRT00000083171	ZFAT	VGNC Symbol
ENSPTRG00000020607	ENSPTRT00000105012	ZFAT	VGNC Symbol
ENSPTRG00000020607	ENSPTRT00000079691	ZFAT	VGNC Symbol
ENSPTRG00000020607	ENSPTRT00000107163	ZFAT	VGNC Symbol
ENSPTRG00000020607	ENSPTRT00000100744	ZFAT	VGNC Symbol
ENSPTRG00000020607	ENSPTRT00000059796	ZFAT	VGNC Symbol
ENSPTRG00000020607	ENSPTRT00000109169	ZFAT	VGNC Symbol
ENSPTRG00000043221	ENSPTRT00000090895		
ENSPTRG00000045889	ENSPTRT00000032961	HIST1H2AJ	HGNC Symbol
ENSPTRG00000005007	ENSPTRT00000009219	RARG	VGNC Symbol
ENSPTRG00000005007	ENSPTRT00000076851	RARG	VGNC Symbol
ENSPTRG00000005007	ENSPTRT00000110320	RARG	VGNC Symbol
ENSPTRG00000005007	ENSPTRT00000088740	RARG	VGNC Symbol
ENSPTRG00000043747	ENSPTRT00000084626	RF02042	RFAM
ENSPTRG00000043302	ENSPTRT00000078220		
ENSPTRG00000040722	ENSPTRT00000075995	RF00017	RFAM
ENSPTRG00000034889	ENSPTRT00000068485	RF00619	RFAM
ENSPTRG00000043816	ENSPTRT00000080695	RF00066	RFAM
ENSPTRG00000039720	ENSPTRT00000072710		
ENSPTRG00000038599	ENSPTRT00000072201	RF00100	RFAM
ENSPTRG00000036793	ENSPTRT00000070395	RF00001	RFAM
ENSPTRG00000047043	ENSPTRT00000080056		
ENSPTRG00000046618	ENSPTRT00000076990		
ENSPTRG00000036066	ENSPTRT00000069668	RF00191	RFAM
ENSPTRG00000041358	ENSPTRT00000075694	RF00017	RFAM
ENSPTRG00000050836	ENSPTRT00000094323		
ENSPTRG00000026810	ENSPTRT00000053480	RF00100	RFAM
ENSPTRG00000043692	ENSPTRT00000095159	RF00066	RFAM
ENSPTRG00000051655	ENSPTRT00000101451	RF00001	RFAM
ENSPTRG00000034700	ENSPTRT00000068296	RF00619	RFAM
ENSPTRG00000004839	ENSPTRT00000089239	PPHLN1	VGNC Symbol
ENSPTRG00000004839	ENSPTRT00000108042	PPHLN1	VGNC Symbol
ENSPTRG00000004839	ENSPTRT00000111461	PPHLN1	VGNC Symbol
ENSPTRG00000004839	ENSPTRT00000086359	PPHLN1	VGNC Symbol
ENSPTRG00000004839	ENSPTRT00000095571	PPHLN1	VGNC Symbol
ENSPTRG00000004839	ENSPTRT00000008953	PPHLN1	VGNC Symbol
ENSPTRG00000004839	ENSPTRT00000077897	PPHLN1	VGNC Symbol
ENSPTRG00000004839	ENSPTRT00000100857	PPHLN1	VGNC Symbol
ENSPTRG00000050306	ENSPTRT00000091526		
ENSPTRG00000052704	ENSPTRT00000090098		
ENSPTRG00000046012	ENSPTRT00000078978		
ENSPTRG00000046012	ENSPTRT00000096429		
ENSPTRG00000046012	ENSPTRT00000107920		
ENSPTRG00000046012	ENSPTRT00000081842		
ENSPTRG00000041189	ENSPTRT00000075469	RF00017	RFAM
ENSPTRG00000027591	ENSPTRT00000054261	ptr-mir-182	miRBase
ENSPTRG00000036998	ENSPTRT00000070600	RF00066	RFAM
ENSPTRG00000013838	ENSPTRT00000025816	KRTAP22-1	HGNC Symbol
ENSPTRG00000027366	ENSPTRT00000054036	RF00001	RFAM
ENSPTRG00000033342	ENSPTRT00000063355	RF00191	RFAM
ENSPTRG00000043846	ENSPTRT00000107681		
ENSPTRG00000035472	ENSPTRT00000069074	RF00100	RFAM
ENSPTRG00000051202	ENSPTRT00000110783	RF00001	RFAM
ENSPTRG00000049829	ENSPTRT00000103244		
ENSPTRG00000048113	ENSPTRT00000085834	MPC1L	HGNC Symbol
ENSPTRG00000043741	ENSPTRT00000107315	MIR4686	HGNC Symbol
ENSPTRG00000038702	ENSPTRT00000074519	RF00017	RFAM
ENSPTRG00000033360	ENSPTRT00000063373	RF00001	RFAM
ENSPTRG00000049579	ENSPTRT00000102986		
ENSPTRG00000025847	ENSPTRT00000052517	RF00191	RFAM
ENSPTRG00000038333	ENSPTRT00000071935	RF00100	RFAM
ENSPTRG00000037863	ENSPTRT00000071465	RF00066	RFAM
ENSPTRG00000025391	ENSPTRT00000052061	RF00001	RFAM
ENSPTRG00000035259	ENSPTRT00000068855	ptr-mir-1258	miRBase
ENSPTRG00000043708	ENSPTRT00000104275	RF00017	RFAM
ENSPTRG00000045304	ENSPTRT00000091354		
ENSPTRG00000050793	ENSPTRT00000096461	RF00105	RFAM
ENSPTRG00000047449	ENSPTRT00000078711		
ENSPTRG00000043321	ENSPTRT00000082881	RF02186	RFAM
ENSPTRG00000035798	ENSPTRT00000069400	RF00100	RFAM
ENSPTRG00000049634	ENSPTRT00000098436	RNF223	VGNC Symbol
ENSPTRG00000027147	ENSPTRT00000053817	RF00001	RFAM
ENSPTRG00000026187	ENSPTRT00000052857	RF00001	RFAM
ENSPTRG00000052626	ENSPTRT00000110619		
ENSPTRG00000037443	ENSPTRT00000071045		
ENSPTRG00000044283	ENSPTRT00000106007	RF00017	RFAM
ENSPTRG00000051239	ENSPTRT00000092261		
ENSPTRG00000035349	ENSPTRT00000068951	RF00001	RFAM
ENSPTRG00000032809	ENSPTRT00000062822	RF00026	RFAM
ENSPTRG00000052086	ENSPTRT00000108721	RF00026	RFAM
ENSPTRG00000051622	ENSPTRT00000085593		
ENSPTRG00000047741	ENSPTRT00000080032		
ENSPTRG00000037083	ENSPTRT00000070685	RF00001	RFAM
ENSPTRG00000049003	ENSPTRT00000106405		
ENSPTRG00000051090	ENSPTRT00000087624		
ENSPTRG00000021232	ENSPTRT00000039252	ACTL7A	VGNC Symbol
ENSPTRG00000035893	ENSPTRT00000069495	RF00100	RFAM
ENSPTRG00000028558	ENSPTRT00000055446	PCDHB9	NCBI gene
ENSPTRG00000049343	ENSPTRT00000105472	RF00017	RFAM
ENSPTRG00000040389	ENSPTRT00000072898		
ENSPTRG00000044662	ENSPTRT00000098808		
ENSPTRG00000049758	ENSPTRT00000110967	RF00026	RFAM
ENSPTRG00000026478	ENSPTRT00000053148	RF00001	RFAM
ENSPTRG00000037103	ENSPTRT00000070705	RF00026	RFAM
ENSPTRG00000005348	ENSPTRT00000009834	SLC5A8	VGNC Symbol
ENSPTRG00000035594	ENSPTRT00000069196	RF00001	RFAM
ENSPTRG00000036013	ENSPTRT00000069615	RF00100	RFAM
ENSPTRG00000049423	ENSPTRT00000095622	RF00017	RFAM
ENSPTRG00000049641	ENSPTRT00000099861		
ENSPTRG00000051744	ENSPTRT00000077488	MIR6865	HGNC Symbol
ENSPTRG00000046225	ENSPTRT00000084875	RF00026	RFAM
ENSPTRG00000048072	ENSPTRT00000060971	RF00026	RFAM
ENSPTRG00000051579	ENSPTRT00000105515		
ENSPTRG00000042855	ENSPTRT00000096652		
ENSPTRG00000016810	ENSPTRT00000031207	OSMR	VGNC Symbol
ENSPTRG00000036759	ENSPTRT00000070361	RF00201	RFAM
ENSPTRG00000030108	ENSPTRT00000058077	ZBTB38	VGNC Symbol
ENSPTRG00000031645	ENSPTRT00000060842	RF00001	RFAM
ENSPTRG00000036030	ENSPTRT00000069632	RF00100	RFAM
ENSPTRG00000052616	ENSPTRT00000088688		
ENSPTRG00000044077	ENSPTRT00000107039	RF00026	RFAM
ENSPTRG00000025886	ENSPTRT00000052556	RF00026	RFAM
ENSPTRG00000038793	ENSPTRT00000073158	RF00017	RFAM
ENSPTRG00000050108	ENSPTRT00000096913		
ENSPTRG00000021048	ENSPTRT00000101527	TLE1	VGNC Symbol
ENSPTRG00000021048	ENSPTRT00000050221	TLE1	VGNC Symbol
ENSPTRG00000021048	ENSPTRT00000083273	TLE1	VGNC Symbol
ENSPTRG00000021048	ENSPTRT00000098743	TLE1	VGNC Symbol
ENSPTRG00000021048	ENSPTRT00000077447	TLE1	VGNC Symbol
ENSPTRG00000021048	ENSPTRT00000080320	TLE1	VGNC Symbol
ENSPTRG00000021048	ENSPTRT00000082665	TLE1	VGNC Symbol
ENSPTRG00000021048	ENSPTRT00000080659	TLE1	VGNC Symbol
ENSPTRG00000021048	ENSPTRT00000100456	TLE1	VGNC Symbol
ENSPTRG00000044392	ENSPTRT00000110495		
ENSPTRG00000044706	ENSPTRT00000077459	RF01968	RFAM
ENSPTRG00000051340	ENSPTRT00000102713	RF00001	RFAM
ENSPTRG00000025684	ENSPTRT00000052354	RF00100	RFAM
ENSPTRG00000023212	ENSPTRT00000048938		
ENSPTRG00000046281	ENSPTRT00000090007		
ENSPTRG00000046051	ENSPTRT00000082519	RF00026	RFAM
ENSPTRG00000046490	ENSPTRT00000083555		
ENSPTRG00000048019	ENSPTRT00000094247	RF00017	RFAM
ENSPTRG00000051652	ENSPTRT00000105354	RF00026	RFAM
ENSPTRG00000048561	ENSPTRT00000088201		
ENSPTRG00000032875	ENSPTRT00000062888	RF00586	RFAM
ENSPTRG00000047435	ENSPTRT00000094898		
ENSPTRG00000038110	ENSPTRT00000071712	RF00001	RFAM
ENSPTRG00000040207	ENSPTRT00000072963	MIR4743	HGNC Symbol
ENSPTRG00000036933	ENSPTRT00000070535	RF00100	RFAM
ENSPTRG00000050704	ENSPTRT00000096628	RF00026	RFAM
ENSPTRG00000043261	ENSPTRT00000076867	RF02136	RFAM
ENSPTRG00000040446	ENSPTRT00000074777	RF00017	RFAM
ENSPTRG00000049400	ENSPTRT00000104251	PRR9	VGNC Symbol
ENSPTRG00000013870	ENSPTRT00000060586	DNAJC28	VGNC Symbol
ENSPTRG00000003573	ENSPTRT00000006728	MTCH2	VGNC Symbol
ENSPTRG00000003573	ENSPTRT00000099620	MTCH2	VGNC Symbol
ENSPTRG00000003573	ENSPTRT00000082650	MTCH2	VGNC Symbol
ENSPTRG00000025027	ENSPTRT00000051697	RF00026	RFAM
ENSPTRG00000026297	ENSPTRT00000052967	RF00001	RFAM
ENSPTRG00000043843	ENSPTRT00000101386	RF00017	RFAM
ENSPTRG00000033098	ENSPTRT00000063111	RF00586	RFAM
ENSPTRG00000037768	ENSPTRT00000071370	RF00100	RFAM
ENSPTRG00000043202	ENSPTRT00000091999		
ENSPTRG00000027639	ENSPTRT00000054309	ptr-mir-326	miRBase
ENSPTRG00000038322	ENSPTRT00000071924	RF00026	RFAM
ENSPTRG00000046336	ENSPTRT00000103749	RAB31	VGNC Symbol
ENSPTRG00000046336	ENSPTRT00000107936	RAB31	VGNC Symbol
ENSPTRG00000050541	ENSPTRT00000089173	MIR493	HGNC Symbol
ENSPTRG00000032804	ENSPTRT00000062817	RF00586	RFAM
ENSPTRG00000050454	ENSPTRT00000058776	HIST2H2BE	HGNC Symbol
ENSPTRG00000038234	ENSPTRT00000071836	RF00001	RFAM
ENSPTRG00000032055	ENSPTRT00000061211	RF00026	RFAM
ENSPTRG00000036594	ENSPTRT00000070196	RF00100	RFAM
ENSPTRG00000039361	ENSPTRT00000074384	RF00017	RFAM
ENSPTRG00000027708	ENSPTRT00000054378	ptr-mir-33a	miRBase
ENSPTRG00000046332	ENSPTRT00000093217	RF02275	RFAM
ENSPTRG00000047432	ENSPTRT00000099517		
ENSPTRG00000038175	ENSPTRT00000071777	RF00001	RFAM
ENSPTRG00000038634	ENSPTRT00000072236	RF00004	RFAM
ENSPTRG00000051143	ENSPTRT00000105727		
ENSPTRG00000037771	ENSPTRT00000071373	RF00026	RFAM
ENSPTRG00000043874	ENSPTRT00000078333	RF00017	RFAM
ENSPTRG00000026008	ENSPTRT00000052678	RF00092	RFAM
ENSPTRG00000038881	ENSPTRT00000074297	PRKY	NCBI gene
ENSPTRG00000038881	ENSPTRT00000109143	PRKY	NCBI gene
ENSPTRG00000026980	ENSPTRT00000053650	RF00026	RFAM
ENSPTRG00000024749	ENSPTRT00000051419	RF00001	RFAM
ENSPTRG00000032306	ENSPTRT00000061386	ptr-mir-576	miRBase
ENSPTRG00000050271	ENSPTRT00000107611	RF00017	RFAM
ENSPTRG00000036501	ENSPTRT00000070103	RF00004	RFAM
ENSPTRG00000043541	ENSPTRT00000087013		
ENSPTRG00000044369	ENSPTRT00000051509	RF00026	RFAM
ENSPTRG00000024674	ENSPTRT00000051344	RF00092	RFAM
ENSPTRG00000027927	ENSPTRT00000054597	ptr-mir-577	miRBase
ENSPTRG00000048673	ENSPTRT00000079418	MIR6070	HGNC Symbol
ENSPTRG00000045268	ENSPTRT00000051428	RF00026	RFAM
ENSPTRG00000033107	ENSPTRT00000063120	RF00092	RFAM
ENSPTRG00000037842	ENSPTRT00000071444	RF00049	RFAM
ENSPTRG00000036446	ENSPTRT00000070048	RF00004	RFAM
ENSPTRG00000039906	ENSPTRT00000072385	RF00017	RFAM
ENSPTRG00000025001	ENSPTRT00000051671	RF00001	RFAM
ENSPTRG00000008955	ENSPTRT00000016519	SSH2	VGNC Symbol
ENSPTRG00000008955	ENSPTRT00000095427	SSH2	VGNC Symbol
ENSPTRG00000008955	ENSPTRT00000092215	SSH2	VGNC Symbol
ENSPTRG00000008955	ENSPTRT00000104134	SSH2	VGNC Symbol
ENSPTRG00000008955	ENSPTRT00000099048	SSH2	VGNC Symbol
ENSPTRG00000008955	ENSPTRT00000083316	SSH2	VGNC Symbol
ENSPTRG00000027593	ENSPTRT00000054263	ptr-mir-369	miRBase
ENSPTRG00000035153	ENSPTRT00000068749	ptr-mir-1263	miRBase
ENSPTRG00000032937	ENSPTRT00000062950	RF00026	RFAM
ENSPTRG00000036375	ENSPTRT00000069977	RF00004	RFAM
ENSPTRG00000027005	ENSPTRT00000053675	RF00092	RFAM
ENSPTRG00000037158	ENSPTRT00000070760	RF00001	RFAM
ENSPTRG00000035480	ENSPTRT00000069082	RF00026	RFAM
ENSPTRG00000026508	ENSPTRT00000053178	RF00413	RFAM
ENSPTRG00000041059	ENSPTRT00000072684	RF00017	RFAM
ENSPTRG00000032361	ENSPTRT00000061441		
ENSPTRG00000038653	ENSPTRT00000073397	MIR4519	HGNC Symbol
ENSPTRG00000027146	ENSPTRT00000053816	RF00092	RFAM
ENSPTRG00000036090	ENSPTRT00000069692	RF00001	RFAM
ENSPTRG00000033316	ENSPTRT00000063329	RF00026	RFAM
ENSPTRG00000016014	ENSPTRT00000046447	SLC30A9	VGNC Symbol
ENSPTRG00000016014	ENSPTRT00000107403	SLC30A9	VGNC Symbol
ENSPTRG00000016014	ENSPTRT00000094520	SLC30A9	VGNC Symbol
ENSPTRG00000034749	ENSPTRT00000068345	ptr-mir-320d-3	miRBase
ENSPTRG00000026553	ENSPTRT00000053223	RF00092	RFAM
ENSPTRG00000035359	ENSPTRT00000068961	RF00004	RFAM
ENSPTRG00000045265	ENSPTRT00000101172		
ENSPTRG00000035427	ENSPTRT00000069029	RF00026	RFAM
ENSPTRG00000038617	ENSPTRT00000072219	RF00026	RFAM
ENSPTRG00000041334	ENSPTRT00000073350	RF00017	RFAM
ENSPTRG00000025276	ENSPTRT00000051946	RF00001	RFAM
ENSPTRG00000019779	ENSPTRT00000061723	TAS2R3	VGNC Symbol
ENSPTRG00000052443	ENSPTRT00000094385	FAM217B	VGNC Symbol
ENSPTRG00000041419	ENSPTRT00000075265		
ENSPTRG00000035348	ENSPTRT00000068950	RF00004	RFAM
ENSPTRG00000027511	ENSPTRT00000054181	RF00092	RFAM
ENSPTRG00000047599	ENSPTRT00000109932	RF00026	RFAM
ENSPTRG00000042772	ENSPTRT00000093488	RF00017	RFAM
ENSPTRG00000031828	ENSPTRT00000061007	ptr-mir-663a	miRBase
ENSPTRG00000036187	ENSPTRT00000069789	RF00001	RFAM
ENSPTRG00000031496	ENSPTRT00000060709	RF00026	RFAM
ENSPTRG00000049476	ENSPTRT00000110078	ptr-mir-1233-3	miRBase
ENSPTRG00000051256	ENSPTRT00000076842		
ENSPTRG00000043907	ENSPTRT00000102432		
ENSPTRG00000052668	ENSPTRT00000106057	RF00026	RFAM
ENSPTRG00000035621	ENSPTRT00000069223	RF00026	RFAM
ENSPTRG00000035642	ENSPTRT00000069244	RF00004	RFAM
ENSPTRG00000038028	ENSPTRT00000071630	RF00092	RFAM
ENSPTRG00000038385	ENSPTRT00000071987	RF00001	RFAM
ENSPTRG00000041580	ENSPTRT00000076241	RF00017	RFAM
ENSPTRG00000046158	ENSPTRT00000096284	ptr-mir-1233-1	miRBase
ENSPTRG00000049732	ENSPTRT00000108771	RF00604	RFAM
ENSPTRG00000043172	ENSPTRT00000082116	ptr-mir-1233-1	miRBase
ENSPTRG00000033195	ENSPTRT00000063208	RF00001	RFAM
ENSPTRG00000043528	ENSPTRT00000078189	RF00026	RFAM
ENSPTRG00000036669	ENSPTRT00000070271	RF00026	RFAM
ENSPTRG00000052152	ENSPTRT00000108955	RF00017	RFAM
ENSPTRG00000044279	ENSPTRT00000108103	MIR513A2	HGNC Symbol
ENSPTRG00000036583	ENSPTRT00000070185	RF00004	RFAM
ENSPTRG00000027491	ENSPTRT00000054161	RF00092	RFAM
ENSPTRG00000050434	ENSPTRT00000107592		
ENSPTRG00000010712	ENSPTRT00000019756	FKBP8	VGNC Symbol
ENSPTRG00000010712	ENSPTRT00000092027	FKBP8	VGNC Symbol
ENSPTRG00000010712	ENSPTRT00000082605	FKBP8	VGNC Symbol
ENSPTRG00000050708	ENSPTRT00000079752		
ENSPTRG00000044666	ENSPTRT00000107753	RF00017	RFAM
ENSPTRG00000049503	ENSPTRT00000094028	RF00026	RFAM
ENSPTRG00000043802	ENSPTRT00000104256		
ENSPTRG00000046100	ENSPTRT00000103674		
ENSPTRG00000046624	ENSPTRT00000051213	RF00001	RFAM
ENSPTRG00000045110	ENSPTRT00000053174	RF00026	RFAM
ENSPTRG00000038409	ENSPTRT00000072011	RF00092	RFAM
ENSPTRG00000050534	ENSPTRT00000083382		
ENSPTRG00000051775	ENSPTRT00000088392		
ENSPTRG00000047083	ENSPTRT00000093486		
ENSPTRG00000050238	ENSPTRT00000080366		
ENSPTRG00000036034	ENSPTRT00000069636	RF00004	RFAM
ENSPTRG00000027594	ENSPTRT00000054264	ptr-mir-518e	miRBase
ENSPTRG00000052050	ENSPTRT00000081935	RF00026	RFAM
ENSPTRG00000043968	ENSPTRT00000082485		
ENSPTRG00000043413	ENSPTRT00000083070		
ENSPTRG00000046695	ENSPTRT00000089496		
ENSPTRG00000018857	ENSPTRT00000034828	MRM2	VGNC Symbol
ENSPTRG00000018857	ENSPTRT00000097473	MRM2	VGNC Symbol
ENSPTRG00000018857	ENSPTRT00000107630	MRM2	VGNC Symbol
ENSPTRG00000018857	ENSPTRT00000109292	MRM2	VGNC Symbol
