	C.4x0519	C.4x373	C.476	C.4x0025	C.438	C.462	C.4X0354	C.503	C.317	C.623	C.554	C.4X0095	C.549	C.4X0267	C.4X0339	C.529	C.495	C.338	C.4X0550	C.558	C.4x523	C.389	C.4x0043	C.4X0357	C.88A020	C.554_2	C.Little_R	C.676	C.456	C.537	C.MD_And	C.724	C.4x0430	C.95A014	C.4X0333	C.522	C.295	C.4X0212	C.570	H.SRR1477033	H.SRR601645	H.SRR599086	H.SRR604230	H.SRR1478189	H.59263	H.SRR1477015	H.62905	H.63060	H.SRR600852	H.62606	H.SRR601986	H.SRR604174	H.SRR608096	H.62765	H.SRR614996	H.SRR602106	H.SRR601868	H.SRR612335	H.SRR598589	H.SRR600474	H.SRR603449	H.SRR606939	H.SRR1481012	H.SRR599249	H.59365	H.SRR607313	H.63145	H.SRR1477569	H.SRR601239	H.SRR607252	H.SRR612875	H.SRR601613	H.SRR614683	H.SRR604122	H.59511	H.62850	H.SRR599380
ENSG00000166971	132.090890219377	21.6219603433301	171.837124890592	186.5921732087	119.618257136661	152.88247825503	98.5133398119239	178.086367871018	101.351070798284	293.775457771361	135.558226086991	331.751561852948	128.594193922473	133.2812232006	45.7510153837408	45.2346780140127	92.6238460582231	137.9632493296	184.147471707621	86.0740646832775	115.816675273349	192.195854307112	220.253244849277	112.178573536134	443.734169908965	134.830736374507	18.5042672535609	68.1348000825374	118.762049618574	45.6033451561671	104.112702278593	186.279759675218	105.328728100799	78.9171358241779	182.255774117088	239.432952568081	258.426426858945	277.529270369542	138.776867218051	31.1392857309609	85.9083509369807	121.798710950713	54.4378475941201	40.6999899393283	63.9339693159788	39.0180209702736	44.7585587744075	74.1320402488481	63.1748674750892	63.8323057489458	18.6003063982726	150.34588418818	43.2799528534325	38.8916690725373	35.8733652059815	37.7097185072918	55.8180166367622	53.9380400983048	65.1461798291177	38.278705064218	118.264565763891	47.8583484616312	123.430306567789	59.2505610015204	104.303075665633	48.9584235387621	70.0443856930705	52.2922710460765	86.2136748776556	27.9689437888605	52.8258820409059	64.7668162393937	44.6783187961328	124.074657736034	62.4388454630654	134.750346021816	89.9586885168143
ENSG00000148218	306.598811365163	157.694170203973	852.411854262162	162.051677984982	241.57358132268	207.183450230857	146.083708887766	1008.98206894924	190.445154351368	1262.39537106569	1016.43183405223	707.717896628129	581.996457723061	381.776054600111	229.291306281191	94.0160133377384	229.886224205517	726.639278773301	292.658773328625	139.968786016502	670.032094523278	698.420605036271	404.114341731419	311.293565591506	673.854861299743	566.419476221024	38.393020846865	974.604735424001	430.352274385976	42.4804343503678	248.623618860085	561.481356136283	695.392625933577	428.76293656142	579.757500810439	545.875292829726	1063.97753375158	269.955112634374	1234.32714871677	212.991210202775	246.125665606408	260.939984418404	451.004132301472	98.1310790806301	344.927886354844	77.0126904229374	68.3878151507586	97.4750979656437	263.063047668598	107.266498210278	57.5554722560657	443.418978615911	70.3479384815703	72.1612468880876	111.787818222831	345.221386027685	123.042260168421	528.332385122894	269.15585042233	83.5850405372581	244.39107121064	319.373457590861	207.689448948251	97.7877323900889	378.962838990988	156.396488026172	129.210400315978	191.339020141861	279.629655750156	166.061690443731	69.4883881965768	165.128095118416	92.9489822301606	155.800009442425	153.012972409651	150.536720080269	327.14790063353
ENSG00000158578	66.893358081956	0.413929808763325	0.613201838811961	0.415540557527165	1.17711058029029	0.254361287723641	1.72593249766651	0.154141298862406	0.57192069556995	0.110065740340555	2.5479319474429	6.70662982324207	1.34401745947444	5.51273676690166	2.37319757024306	45.8097844288936	3.35202716405246	0.420396635817961	1.3808184190712	1.00215435348378	9.47968988003799	2.33534284024396	23.5265519977936	1.79298914820056	0.501430267158286	0.406330859841108	0.658237225898706	0.358739167594881	14.5004199530828	3.58750014665119	0.0210198317908981	0.145349307270652	0.16702572558063	0.308282597724813	3.00258365174224	0.522812266617636	2.01318079797957	54.5305415534636	0.0937686599633327	0.631867710912308	1.52266851231744	5.92774446700135	3.91954412083834	0.227603144965632	0.101994668942644	0.124120751866419	0.637081101655931	0.102470050822071	1.86223590431989	0.124888423901534	2.70643396272642	12.32203046767	1.39741573911058	0.100111363881181	3.29765643801092	3.92615741302871	1.14993002970623	2.17784307030088	3.15933855456154	3.07843851403309	1.62619538475258	8.21596748406498	0.364165031945012	1.98889604438155	0.0620603759332096	5.30900918046609	30.6897802212103	2.4503104004209	1.74843793462147	1.35321698136321	2.29528018515421	2.48112590413511	13.6485159424677	2.32334885405315	0.339297554212357	0.442280780656243	3.84921100797364
ENSG00000170017	54.9775365495953	42.968466347592	198.72626276779	49.6096700363024	136.40712491074	132.369274464093	28.9192533944062	188.928965349713	98.0908935981325	48.2459179095707	55.6594980233299	108.136253637266	109.367491431083	156.057986785787	26.3689357950035	45.9355939118077	22.9944949464039	170.909008892256	113.682503732752	38.6537440947346	67.0573794845656	217.594445787552	42.4829277152985	56.4884692704859	115.245735772542	40.247883832045	14.0890905339136	51.4691176624207	25.1605609247662	34.1423785461108	191.342163483251	240.585200490363	415.101420958529	52.3335634640882	98.6413475464946	75.3268718313276	60.8938593268005	114.447206981985	52.1631984025499	3.56483606915964	6.64072047078503	11.0921171096731	19.9700846193559	1.32684234196873	20.1577102785988	4.26510704865808	10.162157245249	7.86868734557701	4.82405430257026	13.9748331008898	5.55870945737408	7.69548661571799	13.1663427675559	20.8014203168804	7.20391257723746	3.74665271704601	4.84309235435254	24.7044630454756	7.52893377806517	10.6118045714052	8.39403456948233	28.3555813163184	4.89457397259575	12.2060506963375	27.9074905652936	8.7387932011262	9.23259315214369	12.9646459381576	2.86779962656697	11.0154242458055	13.9635845849722	8.96160749662676	4.76485736322631	5.09664563287548	3.9652074588737	7.79880312943535	12.5636389082125
ENSG00000128918	42.3735438859703	26.7959789209998	12.7854736161849	14.5906701672433	13.5220444746509	15.5625725465993	7.85317963333318	34.1940013680947	131.735370499335	11.9764373065115	10.8989881775703	7.80298672321809	113.403266610938	32.3017775276637	9.0847534168782	36.4009954719618	14.4426488756916	10.4296850313835	14.8003240953373	18.0139286375984	37.7082298936901	38.014252004932	8.21546256215044	8.80726317379416	8.89948485752651	10.4450377141653	56.5667491632771	6.17331908743355	7.4957972769398	24.6984097903481	18.3011454324277	7.33664134339683	21.9591278846757	14.0569141023815	74.7495198302589	10.2960017824353	77.6140067190611	19.9664660270581	6.37123615671308	3.63347773342044	12.7643845842531	12.1445534515899	19.6776523396729	3.68012816659695	21.7644122228204	11.2648760617556	50.94340988809	4.94144955593568	10.3101098109841	13.5419480720387	19.8915401024924	24.2392194971322	103.854138628994	7.70152978053207	36.9639795634063	6.71145076226329	14.5515739881199	29.6018545459798	16.9562294226287	18.5718770965199	9.46043113076749	36.1957943036799	10.3340972758985	33.7863088391418	55.5588062074936	64.2180040044451	12.6948842182878	11.5573005139257	9.58464957377535	12.9039990921297	15.1195131516765	39.0059239814032	10.2128981872273	9.93540491155139	10.1356603348466	20.2376932355786	24.957425643076
ENSG00000159423	43.2378727702788	18.054889506278	49.3424160438791	13.7135529172375	19.6798708382257	22.2131656246517	2.78272072822849	30.0906139825902	29.6866506553665	42.5588718621288	52.8135635056862	16.4555145246133	79.7233471953902	40.6505355347963	18.8805704288212	7.01248806825155	4.71329366240113	17.3358024530444	34.8563387775178	3.63508563597415	41.0653354562124	34.7468751988949	27.3139028368886	22.7779428227484	67.1608118224895	67.7151068424304	1.14696392913139	40.1280928355997	25.9844557874485	2.17901013538143	21.6375543247508	11.5109486914154	29.1809633122339	21.9282970484512	28.1123585751577	52.5951431370786	93.0099331928892	71.009728779094	43.5565167832212	53.6588110247986	45.410069427684	28.1030133414483	28.586046061748	22.573224839209	65.237850202303	20.5152818161851	14.9881536254624	28.6022401207946	21.9648219399018	36.7738472151206	10.5996586909902	73.2313706009649	20.9838782426091	53.736652371079	10.7383212196213	52.2144713691362	42.4123122891538	25.8380638821009	55.1711788665347	49.6342619325848	81.2049596552697	57.4323032059827	74.2637038684074	50.6372584135227	98.8698665679175	39.9411088416238	42.0303266891327	37.4309610248575	56.2063517767863	31.2789928164313	34.7104225838064	55.1384885736644	30.019879356408	10.1904476880079	31.4876495961418	71.2996393116099	69.843516431304
ENSG00000109107	95.4219633601546	121.326469097064	904.436064491633	39.6129345835394	280.434403063671	296.969821174697	11.0891233393109	324.185020374648	444.768646969399	291.68304492594	852.910885458248	204.20537232324	241.781877973916	213.657103328551	140.937972157972	119.87684117147	110.459679850657	228.771377728288	279.621560075741	31.4512853023136	82.8549722168467	668.21850977181	137.246061966331	499.272935844168	217.478721524251	223.999024648369	4.98648669032598	309.496003289183	288.627386912697	12.3042284511064	190.749857342228	119.53142537412	420.065898009728	232.490926216672	388.796493397856	451.839916143313	1211.56789391981	207.020095022831	199.507021792292	277.021484221433	314.91565249276	221.245660994648	396.402691478388	433.306047545269	553.773268886956	292.267474352511	406.657191352907	227.723633415081	555.038607832574	264.885560506267	206.345649058445	704.521435394368	253.495552299309	207.807094708264	185.716366871903	274.849232732779	489.584637771348	1087.22373759472	130.361445467364	303.898801283442	378.157992274409	1046.70304098295	460.345176885304	637.189134737062	494.181494250808	744.247293723901	213.204984827327	570.629579962703	463.677325086597	347.871849662661	357.947220782112	580.386449371271	247.716699453516	137.614489623656	189.18862381526	389.02101118121	963.270060066676
ENSG00000159063	27.0588008867239	8.87753110834859	78.0632698937971	27.458644881245	19.1983628681632	17.1639491016589	9.61399303718851	20.294862156857	10.1236518084655	26.3930862164108	25.4651535190489	17.5012865514613	26.4849524462193	27.8299934770519	11.2783728546315	17.2416970824076	12.2159611785479	21.6565000911533	21.7201097480262	7.55704568969702	27.0444062910282	14.5948067430759	35.5654705233066	23.7791847343394	18.2071798894201	21.5899367554248	6.53837196147605	17.7829789811888	42.7475179387967	13.1976009161098	22.0298880237594	18.3210692658157	13.8173202255407	13.915156057435	14.3555476161402	31.6986810605956	42.7814579120021	20.49524795039	21.1360942410465	7.77430438787048	14.9209977681891	21.9863680893719	22.6153200227488	7.70857501885097	63.4798864317101	9.25797612208004	12.089008004604	19.3979975796566	16.9024612669042	19.2650668297555	11.4882835245424	70.0241632357465	15.7956582606149	22.6428165052669	14.7703694721039	9.42880030450778	15.4217426487217	40.675152646987	19.8260372943685	8.04807994179173	17.8790246001486	15.3430544416631	21.9911295992329	27.5054525625001	39.6978138428458	15.0080611569352	20.9680704908038	10.8997180132373	10.1952587346472	21.3503716643323	26.0046677247928	22.6237526095839	13.5652909693716	25.1965126288831	20.3441231795461	21.2625355455798	31.3639731253876
ENSG00000012779	7.37364581781025	0.71777738080701	6.24981087577701	3.54755931782612	2.53147955681777	6.15929126656262	3.2859510370495	1.06083705068317	3.86451831157411	4.63552098293114	2.8626408166467	4.29098727541473	6.32734890587058	2.38083234869735	0.403749776703943	14.2981284783963	5.30377680189846	10.1015770776863	3.1120629557369	0.603542027213174	7.23044200334052	7.43176598379637	1.58153068829415	1.6180143746264	3.30261380186414	1.69921737401471	0.208033894546371	3.73842385836984	5.39552018052691	2.98556972292297	1.87426851802854	8.10433061389818	10.0925638995092	0.921253228224854	6.30213755425932	2.64497373731953	2.67594685034366	6.0025608515633	0.760176193638161	9.17116007654617	13.2187591851875	19.5131211609616	50.7550647686652	5.01622859956974	20.6199624517135	1.44974745956849	3.89700624259959	9.73372785918686	22.8426457197019	1.9929603181398	10.3101098109841	15.9381104654825	16.2192557758784	4.55985317272784	3.6026785915328	8.87350170365652	9.18757873541312	19.9973839038865	34.9726904252294	10.2585737305895	9.28555420763002	30.9127986850869	21.3409725508011	18.0701821485447	12.3042669004403	12.4998313441874	6.89016691155924	8.61986630932149	8.05374375138688	9.02134608461108	4.6107973328389	10.20078979615	4.59985188476931	44.3406595880961	6.64117423103853	8.97391411365932	14.2721054985272
ENSG00000132965	29.9140188674325	1.20031108862588	8.91735396346659	10.9649813430842	2.51059863424382	3.83808999331889	2.37227982399193	0.80222579552533	1.54365061189676	7.1124267195149	2.89019204436845	6.25276861800936	9.37127606825435	6.53703025131542	0.693513073428284	12.5503500226567	3.67199375210263	29.1797878998904	3.50322308115013	1.64442124163077	21.2840531375314	2.55865375396586	7.75901096674353	2.19146429737827	6.88548925197459	3.4584471204272	2.70007771249985	2.18723353927382	6.9357197493629	6.11998958683772	2.32111949203674	8.65502172990032	7.08988174670316	2.00556448881332	3.80626178275913	2.7268987817903	2.35026605805786	19.0560567405999	14.1126955075497	2.48172814987774	10.215194659749	9.46702596788672	14.9505059565963	5.35168524191389	25.537072865144	1.1729386928404	10.6743846605121	7.81486151364609	4.40621218534906	8.52708019346475	2.24799163022761	10.1135163870303	7.42945954668337	3.36520524928671	0.934372729557693	3.9721770730586	3.9746284922019	10.7916510480123	25.5769941977196	4.00182883577795	2.21779978967976	15.737374691154	21.6328685130885	5.73559925313394	19.3789870991023	12.2879544347755	4.20473527092914	1.79322588938624	7.39993740927113	3.55932008119371	3.73915218534571	10.6307713838721	1.76815869030318	7.10790683556388	9.74307583957771	9.11256288456045	7.37134634427071
