sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
4X0095 	4X0095 	WGS of captive born chimpanzee 4X0095  from SNPRC	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG25_S1_R1_001.fastq.gz	YG-LB-SB-PanTro-YG25_S1_R2_001.fastq.gz				
4X0212	4X0212	WGS of captive born chimpanzee 4X0212 from SNPRC	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG26_S2_R1_001.fastq.gz	YG-LB-SB-PanTro-YG26_S2_R2_001.fastq.gz				
4X0267	4X0267	WGS of captive born chimpanzee 4X0267 from SNPRC	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG27_S3_R1_001.fastq.gz	YG-LB-SB-PanTro-YG27_S3_R2_001.fastq.gz				
4X0333	4X0333	WGS of captive born chimpanzee 4X0333 from SNPRC	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG28_S4_R1_001.fastq.gz	YG-LB-SB-PanTro-YG28_S4_R2_001.fastq.gz				
4X0339	4X0339	WGS of captive born chimpanzee 4X0339 from SNPRC	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG29_S5_R1_001.fastq.gz	YG-LB-SB-PanTro-YG29_S5_R2_001.fastq.gz				
4X0354	4X0354	WGS of captive born chimpanzee 4X0354 from SNPRC	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG30_S6_R1_001.fastq.gz	YG-LB-SB-PanTro-YG30_S6_R2_001.fastq.gz				
4X0357	4X0357	WGS of captive born chimpanzee 4X0357 from SNPRC	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG31_S7_R1_001.fastq.gz	YG-LB-SB-PanTro-YG31_S7_R2_001.fastq.gz				
4x0430	4x0430	WGS of captive born chimpanzee 4x0430 from SNPRC	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG10_S10_R1_001.fastq.gz	YG-LB-PanTro-YG10_S10_R2_001.fastq.gz				
4x0519	4x0519	WGS of captive born chimpanzee 4x0519 from SNPRC	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG5_S5_R1_001.fastq.gz	YG-LB-PanTro-YG5_S5_R2_001.fastq.gz				
4X0550	4X0550	WGS of captive born chimpanzee 4X0550 from SNPRC	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG32_S8_R1_001.fastq.gz	YG-LB-SB-PanTro-YG32_S8_R2_001.fastq.gz				
4x373	4x373	WGS of captive born chimpanzee Ursula from SNPRC	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG19_S19_R1_001.fastq.gz	YG-LB-PanTro-YG19_S19_R2_001.fastq.gz				
4x523	4x523	WGS of captive born chimpanzee 4x523 from SNPRC	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG18_S18_R1_001.fastq.gz	YG-LB-PanTro-YG18_S18_R2_001.fastq.gz				
554_2	554_2	WGS of captive born chimpanzee Anja from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG34_S10_R1_001.fastq.gz	YG-LB-SB-PanTro-YG34_S10_R2_001.fastq.gz				
88A020	88A020	WGS of captive born chimpanzee 88A020 from New.Iberia	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG16_S16_R1_001.fastq.gz	YG-LB-PanTro-YG16_S16_R2_001.fastq.gz				
95A014	95A014	WGS of captive born chimpanzee 95A014 from New.Iberia	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG9_S9_R1_001.fastq.gz	YG-LB-PanTro-YG9_S9_R2_001.fastq.gz				
Little_R	Little_R	WGS of captive born chimpanzee Little_Rock_chimp from Little.Rock.Zoo	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG15_S15_R1_001.fastq.gz	YG-LB-PanTro-YG15_S15_R2_001.fastq.gz				
MD_And	MD_And	WGS of captive born chimpanzee MD_And from Md.Anderson	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG14_S14_R1_001.fastq.gz	YG-LB-PanTro-YG14_S14_R2_001.fastq.gz				
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
