gene	coefficients	pval	DE
ENSG00000186891	2.21141881544117	7.78523592009372e-09	1
ENSG00000186827	0.970137403620267	0.000209699754650539	1
ENSG00000078808	-0.215127783403674	0.0011279514526085	-1
ENSG00000176022	0.225455473281212	0.00771757049732106	1
ENSG00000184163	0.562360593125422	0.0299571012024334	1
ENSG00000160087	-0.105337136081891	0.0777340154078667	0
ENSG00000162572	-5.13885629129863	1.13850652949622e-22	-1
ENSG00000131584	-0.647577743151454	5.17130723627636e-05	-1
ENSG00000169972	-0.0779498820548068	0.46092286190068	0
ENSG00000127054	0.202162779226728	0.0357534951010599	0
ENSG00000240731	-1.6029272526413	5.4944336448112e-09	-1
ENSG00000224051	-0.0607866022948276	0.519184943774619	0
ENSG00000169962	1.22521864953365	7.25982483376132e-09	1
ENSG00000107404	0.0461571047682945	0.610495985780301	0
ENSG00000162576	-0.0335923881539926	0.869132204454602	0
ENSG00000175756	0.379476969962174	0.000191788799003268	1
ENSG00000221978	-1.01691068722645	2.48602072331299e-05	-1
ENSG00000242485	-0.208353390701345	0.00207814019494784	-1
ENSG00000179403	0.15825133928517	0.362137736725914	0
ENSG00000197785	-0.525721001462487	1.01117515168277e-06	-1
ENSG00000205090	-0.0948012501533873	0.527301855830661	0
ENSG00000272106	-0.627361429117125	5.96322045655947e-05	-1
ENSG00000197530	0.399233646037751	0.00136579115146683	1
ENSG00000189339	-2.35411295497568	2.68428386688374e-16	-1
ENSG00000008130	-0.0584478579856409	0.597740962186513	0
ENSG00000078369	0.0782426253368262	0.239046924899204	0
ENSG00000067606	-1.3394979355933	1.78623080888624e-09	-1
ENSG00000182873	0.0549341285936311	0.730476380957072	0
ENSG00000162585	0.268599260645377	0.00541314961609922	1
ENSG00000157933	-0.514441192615741	1.0904929242712e-06	-1
ENSG00000157916	-0.154321158052528	0.00470807402655266	-1
ENSG00000157911	-0.375733412573358	0.000181359190880427	-1
ENSG00000157873	-0.969368088710574	1.67509593906928e-06	-1
ENSG00000157870	-0.214260772133791	0.106198446595383	0
ENSG00000177133	-0.0762632832283292	0.739009298701713	0
ENSG00000142611	-0.972147173352113	1.70291520432459e-07	-1
ENSG00000162591	-0.971252528902887	5.90431004268855e-06	-1
ENSG00000158109	0.329188030640785	2.00691321052182e-07	1
ENSG00000116213	-0.172348290605926	0.0123521714076296	-1
ENSG00000227372	-1.59023858836429	2.14585055898334e-21	-1
ENSG00000235169	-2.44616090351124	9.72361885497344e-18	-1
ENSG00000130764	-0.047818427965165	0.359205452971694	0
ENSG00000116198	0.444419846816861	8.39721998041195e-10	1
ENSG00000169598	-0.935920101446649	1.043812768864e-08	-1
ENSG00000198912	-0.750450487715562	6.00173449821037e-13	-1
ENSG00000131697	-0.852747221153029	2.40523198034571e-09	-1
ENSG00000069424	0.276803998136387	0.0956422326764812	0
ENSG00000116251	1.13886324679409	7.74261554584621e-25	1
ENSG00000226944	4.26004054302716	1.94514586792547e-20	1
ENSG00000158286	-0.738694229849572	0.000332996377651383	-1
ENSG00000116237	-0.521990507783608	3.48840994726344e-07	-1
ENSG00000158292	-2.0774146547282	6.51389437471835e-10	-1
ENSG00000097021	-0.904696339352607	1.30223164547549e-08	-1
ENSG00000215788	-1.28684967079699	1.61892353140349e-05	-1
ENSG00000171680	-0.290316586742978	0.0454829636334966	0
ENSG00000162408	-0.420010145770183	4.89219360189526e-06	-1
ENSG00000204859	0.00611279973970147	0.959027126554144	0
ENSG00000162413	-0.349567938337419	0.0033427483041939	-1
ENSG00000116273	0.114746022653187	0.207305370290442	0
ENSG00000041988	0.932305899269207	2.26187963887995e-19	1
ENSG00000007923	-0.408968448995192	0.000171344107822652	-1
ENSG00000171735	0.323973624963352	0.000150264631060446	1
ENSG00000049245	0.908262800672045	8.42116261003391e-24	1
ENSG00000049246	0.272574778146929	0.114704058675271	0
ENSG00000116288	-1.83271059175204	9.87754867064408e-39	-1
ENSG00000116285	-0.303239170411514	0.135721404939677	0
ENSG00000142599	-1.0144036812945	1.98142616623506e-08	-1
ENSG00000074800	-0.369470308605333	0.0049295481130603	-1
ENSG00000142583	2.94033333251463	2.15350429195914e-21	1
ENSG00000180758	-0.0184990769877103	0.93246152109711	0
ENSG00000228526	-1.34555178200932	2.07767492274744e-07	-1
ENSG00000049239	-1.19270234804147	3.75240798423536e-18	-1
ENSG00000171621	-0.698633661710653	0.000673097683969121	-1
ENSG00000171612	0.494798279091906	0.000251445110542193	1
ENSG00000188807	-0.224383680647361	0.00246294535807779	-1
ENSG00000171608	-0.00290690092812351	0.986007460308883	0
ENSG00000171603	-0.676829232669678	1.1940762802371e-13	-1
ENSG00000178585	-0.116111595096115	0.309240786961542	0
ENSG00000162441	-0.0274888993764546	0.722473277598091	0
ENSG00000173614	0.134748143875659	0.114206693354197	0
ENSG00000162444	-0.112629133363467	0.588385022765752	0
ENSG00000130939	-0.46037740440836	1.61994483930688e-05	-1
ENSG00000054523	0.0733131055107403	0.345894392479448	0
ENSG00000142657	-0.442643803634441	2.2507823938635e-07	-1
ENSG00000160049	-0.159621815407951	0.0072777793806997	-1
ENSG00000142655	-0.255172250390038	0.000845234477363335	-1
ENSG00000130940	-0.269138720686115	0.0163841079211614	-1
ENSG00000272078	-1.41968199853517	1.98513597965475e-06	-1
ENSG00000171824	0.0124868300771848	0.900734855906761	0
ENSG00000198793	-0.363844979048861	0.000169091710174005	-1
ENSG00000171819	2.22839699092228	5.24961847270896e-09	1
ENSG00000120942	-0.30811917999175	1.94161662013672e-05	-1
ENSG00000116661	1.6916183993906	1.30899990527567e-14	1
ENSG00000132879	1.10249881877473	6.34482839779085e-15	1
ENSG00000116663	0.956911938069891	1.89496030096257e-18	1
ENSG00000116670	0.594548099355971	1.11979258099122e-08	1
ENSG00000177674	-0.0694768643751584	0.605620441832734	0
ENSG00000177000	-0.626940184605792	4.98992635458001e-07	-1
ENSG00000011021	-0.971979853003279	1.31521090961096e-15	-1
ENSG00000242349	-1.5422550391498	0.006755966152226	-1
ENSG00000175206	0.0442067159885831	0.949267351523913	0
ENSG00000120937	1.69724731677709	0.0546333226368992	0
ENSG00000083444	-0.302827307157751	0.048348536023356	0
ENSG00000116688	-0.201990951281916	0.0162246138040717	-1
ENSG00000116691	-0.226366241476669	0.041376689854201	0
ENSG00000028137	0.444259235387658	0.00155337075193898	1
ENSG00000048707	-1.24426874180772	3.45233619678536e-17	-1
ENSG00000162496	0.633978367647394	6.59009728616487e-08	1
ENSG00000162494	-4.0167001367648	1.2487192985405e-10	-1
ENSG00000162493	-3.27852270035306	9.82988263773721e-21	-1
ENSG00000116731	-0.698772791168624	3.35036987738047e-17	-1
ENSG00000189337	-0.94461168562707	2.83359631791536e-07	-1
ENSG00000171729	0.112210382941024	0.299727190359756	0
ENSG00000142634	-0.394971556534665	0.00468953832596953	-1
ENSG00000132906	-1.2395858329513	9.03426221783618e-17	-1
ENSG00000116138	-0.263146297036359	0.000167150083020836	-1
ENSG00000197312	0.338494189806321	2.10265340731874e-05	1
ENSG00000116786	0.321868483117419	4.7920035245306e-05	1
ENSG00000162461	0.0890519941576682	0.722352644618388	0
ENSG00000162458	0.258477371979014	0.0270026951710397	1
ENSG00000233954	-4.9650094362399	2.33031729045402e-32	-1
ENSG00000179743	-0.927667430839621	4.46872165224863e-11	-1
ENSG00000065526	-0.376969026280748	0.000897551248973582	-1
ENSG00000116809	-0.021682870786603	0.786818781148306	0
ENSG00000183888	-0.205002598440567	0.690402251780412	0
ENSG00000173641	-0.206339221508626	0.0428119514946822	0
ENSG00000184908	-2.2574783632831	4.43381210849099e-12	-1
ENSG00000142627	-0.44693135999627	0.00195474281087695	-1
ENSG00000142632	0.1432281581498	0.355760727663156	0
ENSG00000132881	2.04658132598092	4.17198824327728e-26	1
ENSG00000037637	-0.0538502391753748	0.442499765202739	0
ENSG00000055070	0.135758397810375	0.0241634511728184	1
ENSG00000157191	0.21919273246495	0.0450636116899269	0
ENSG00000080947	-0.0552581206327992	0.81541500229684	0
ENSG00000215908	-6.79328619056956	5.79572953175017e-39	-1
