cardiac muscle cell	1	2	2	2	2	2	2	2	2
endocardial cell	2	1	2	2	2	2	2	2	2
endothelial cell	2	2	1	2	2	2	2	2	2
erythrocyte	2	2	2	1	2	2	2	2	2
fibroblast	2	2	2	2	1	2	2	2	2
leukocyte	2	2	2	2	2	1	2	2	2
myofibroblast cell	2	2	2	2	2	2	1	2	2
professional antigen presenting cell	2	2	2	2	2	2	2	1	2
smooth muscle cell	2	2	2	2	2	2	2	2	1
