Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
SRR600924	19.77	4993550.0	51130.0	1.36	1.34	78.08	74.44	0.01	0.95	75.0	2810.0	4949652.0	4932472.0	26739954.0	13687.0	0	0.0	135229002.0	121709	0.0	0.09	2.04	2763902.0	7138.0	105589750	0.01
SRR601239	86.14	8179632.0	77796.0	1.36	1.41	5.28	74.77	0.01	0.44	75.0	4518.0	8107510.0	8081657.0	41899261.0	21342.0	0	0.0	48642566.0	19456	0.0	0.04	8.5	4134348.0	15661.0	2568159	0.04
SRR601613	72.33	10952041.0	81995.0	1.33	1.42	21.04	74.73	0.01	0.68	75.0	6418.0	10871092.0	10849851.0	56668033.0	30581.0	0	0.0	78345618.0	31347	0.0	0.04	6.54	5127080.0	13777.0	16488577	0.04
SRR601645	83.34	10096390.0	89066.0	1.37	1.36	7.82	74.76	0.01	0.49	75.0	5524.0	10023400.0	9987675.0	51168783.0	19459.0	0	0.0	61395574.0	18420	0.0	0.03	8.78	5387495.0	14125.0	4801417	0.03
SRR601868	70.29	8601902.0	77739.0	1.31	1.34	20.37	74.73	0.01	0.66	75.0	4600.0	8529463.0	8503821.0	52905789.0	24533.0	0	0.0	75268178.0	30109	0.0	0.04	9.27	6974689.0	15742.0	15333058	0.03
SRR601986	78.63	5068831.0	34180.0	1.36	1.34	10.72	74.77	0.01	0.49	75.0	2773.0	5018479.0	5022969.0	41362793.0	23630.0	0	0.0	52607684.0	21050	0.0	0.04	10.57	5558795.0	8909.0	5641416	0.04
SRR602106	81.72	7284825.0	61563.0	1.37	1.36	5.68	74.77	0.01	0.57	75.0	4018.0	7215116.0	7206798.0	53175784.0	30887.0	0	0.0	65071994.0	32487	0.0	0.05	12.51	8142282.0	12446.0	3690554	0.05
SRR602437	58.47	6345068.0	53467.0	1.37	1.4	36.19	74.76	0.01	0.53	75.0	3724.0	6289986.0	6278653.0	32531016.0	18262.0	0	0.0	55634540.0	16691	0.0	0.03	5.27	2934119.0	9224.0	20134452	0.03
SRR602461	31.98	7513507.0	73206.0	1.38	1.39	65.25	74.51	0.01	0.77	75.0	4075.0	7453153.0	7424284.0	36246381.0	17965.0	0	0.0	113338384.0	68008	0.0	0.06	2.69	3047129.0	11942.0	73958901	0.02
SRR603449	84.23	8680934.0	72653.0	1.33	1.25	4.41	74.76	0.01	0.58	75.0	4913.0	8608481.0	8588589.0	52070167.0	23591.0	0	0.0	61817625.0	24719	0.0	0.04	11.28	6973924.0	14779.0	2725224	0.04
